# betaDeltaG0a (kT)	n_alpha / N	n_beta / N
# beta_DeltaDeltaG = 3 kT
0	9.22164e-05	9.18407e-06
-1	0.000250504	2.49562e-05
-2	0.000679712	6.77739e-05
-3	0.00183865	0.000183758
-4	0.00493296	0.000496092
-5	0.0129558	0.00132443
-6	0.0323218	0.00344167
-7	0.0724999	0.00845564
-8	0.137263	0.0189787
-9	0.213596	0.0382658
-10	0.279615	0.0698162
-11	0.320946	0.117058
-12	0.334214	0.182376
-13	0.322797	0.265473
-14	0.293194	0.362205
-15	0.252946	0.465148
-16	0.209069	0.565892
-17	0.166892	0.657562
-18	0.129612	0.73615
-19	0.0985541	0.800445
-20	0.0737525	0.851212
-21	0.054542	0.890247
-22	0.0399852	0.919682
-23	0.0291277	0.941565
-24	0.0211207	0.957667
-25	0.0152637	0.969426
-26	0.0110043	0.977969
-27	0.00791983	0.984151
-28	0.00569282	0.988612
-29	0.00408837	0.991826
-30	0.00293424	0.994138
-31	0.00210499	0.995801
-32	0.00150969	0.996997
-33	0.00108274	0.997858
-34	0.000777082	0.998479
-35	0.000559334	0.998929
-36	0.000406564	0.999256
-37	0.000303808	0.99949
-38	0.000240829	0.999648
-39	0.000207512	0.999741
-40	0.000192429	0.999786
-41	0.000186289	0.999805
-42	0.000183964	0.999813
-43	0.000183074	0.999816
-44	0.000182765	0.999817
-45	0.000182642	0.999817
-46	0.000182609	0.999817
-47	0.000182597	0.999817
-48	0.000182593	0.999817
-49	0.000182591	0.999817
-50	0.000182591	0.999817


# beta_DeltaDeltaG = 5 kT
0	9.22179e-05	1.24295e-06
-1	0.000250514	3.3776e-06
-2	0.000679792	9.17327e-06
-3	0.00183924	2.48769e-05
-4	0.00493715	6.7196e-05
-5	0.0129848	0.000179647
-6	0.0325031	0.000468477
-7	0.0734329	0.00116016
-8	0.140847	0.00264513
-9	0.223724	0.00548076
-10	0.302014	0.0104465
-11	0.362545	0.018713
-12	0.402145	0.0320521
-13	0.42262	0.0530011
-14	0.426576	0.0848403
-15	0.41587	0.131126
-16	0.391804	0.19453
-17	0.356101	0.275157
-18	0.311751	0.369324
-19	0.263002	0.47
-20	0.214411	0.568989
-21	0.169693	0.659434
-22	0.131069	0.737233
-23	0.0993074	0.801053
-24	0.074141	0.851544
-25	0.054742	0.890426
-26	0.0400881	0.919777
-27	0.0291806	0.941615
-28	0.0211478	0.957693
-29	0.0152776	0.96944
-30	0.0110115	0.977976
-31	0.00792351	0.984154
-32	0.0056947	0.988614
-33	0.00408934	0.991827
-34	0.00293474	0.994139
-35	0.00210525	0.995801
-36	0.00150982	0.996997
-37	0.00108281	0.997858
-38	0.000777116	0.998479
-39	0.000559351	0.998929
-40	0.000406572	0.999256
-41	0.000303812	0.99949
-42	0.00024083	0.999648
-43	0.000207512	0.999741
-44	0.000192428	0.999786
-45	0.00018632	0.999805
-46	0.000183962	0.999813
-47	0.000183106	0.999816
-48	0.000182763	0.999817
-49	0.000182641	0.999817
-50	0.000182608	0.999817


# beta_DeltaDeltaG = 8 kT
0	9.22181e-05	6.18829e-08
-1	0.000250516	1.68162e-07
-2	0.000679803	4.56718e-07
-3	0.00183932	1.2386e-06
-4	0.00493777	3.34592e-06
-5	0.0129891	8.94713e-06
-6	0.0325303	2.33443e-05
-7	0.0735742	5.78803e-05
-8	0.141401	0.000132284
-9	0.225341	0.000275288
-10	0.305776	0.000528575
-11	0.370096	0.000958347
-12	0.415942	0.00167386
-13	0.446288	0.00285524
-14	0.465224	0.00479696
-15	0.476145	0.0079756
-16	0.48131	0.0131517
-17	0.481892	0.0215127
-18	0.478134	0.0348484
-19	0.469479	0.0557028
-20	0.454729	0.0873546
-21	0.432378	0.13336
-22	0.401248	0.196402
-23	0.361371	0.276624
-24	0.314624	0.370393
-25	0.264537	0.470726
-26	0.21522	0.56945
-27	0.170114	0.659712
-28	0.131287	0.737395
-29	0.0994202	0.801143
-30	0.074199	0.851594
-31	0.0547718	0.890452
-32	0.0401035	0.919791
-33	0.0291885	0.941623
-34	0.0211519	0.957697
-35	0.0152797	0.969442
-36	0.0110126	0.977977
-37	0.00792406	0.984155
-38	0.00569499	0.988614
-39	0.00408948	0.991827
-40	0.00293482	0.994139
-41	0.00210528	0.995801
-42	0.00150984	0.996997
-43	0.00108282	0.997858
-44	0.000777119	0.998479
-45	0.000559357	0.998929
-46	0.000406579	0.999256
-47	0.000303803	0.99949
-48	0.000240818	0.999648
-49	0.000207498	0.999741
-50	0.000192412	0.999786


# beta_DeltaDeltaG = 11 kT
0	9.22181e-05	3.08097e-09
-1	0.000250516	8.37229e-09
-2	0.000679804	2.27387e-08
-3	0.00183933	6.16666e-08
-4	0.0049378	1.66585e-07
-5	0.0129893	4.45459e-07
-6	0.0325317	1.16229e-06
-7	0.0735813	2.88199e-06
-8	0.141428	6.58752e-06
-9	0.225422	1.37119e-05
-10	0.305967	2.63377e-05
-11	0.370483	4.77818e-05
-12	0.416665	8.35417e-05
-13	0.447569	0.000142745
-14	0.467425	0.000240487
-15	0.479855	0.000401669
-16	0.487475	0.0006673
-17	0.49202	0.00110482
-18	0.494572	0.00182495
-19	0.495756	0.00300886
-20	0.495865	0.00495165
-21	0.494929	0.00813013
-22	0.492739	0.0133048
-23	0.488801	0.0216631
-24	0.482282	0.034994
-25	0.471947	0.0558408
-26	0.45618	0.0874816
-27	0.433217	0.133472
-28	0.401725	0.196496
-29	0.361636	0.276697
-30	0.314768	0.370446
-31	0.264614	0.470762
-32	0.215261	0.569473
-33	0.170135	0.659726
-34	0.131298	0.737403
-35	0.0994258	0.801148
-36	0.0742019	0.851596
-37	0.0547733	0.890454
-38	0.0401042	0.919792
-39	0.0291889	0.941623
-40	0.0211521	0.957697
-41	0.0152798	0.969442
-42	0.0110126	0.977977
-43	0.00792409	0.984155
-44	0.005695	0.988614
-45	0.00408949	0.991827
-46	0.00293482	0.994139
-47	0.00210528	0.995801
-48	0.00150984	0.996997
-49	0.00108282	0.997858
-50	0.000777121	0.998479


# beta_DeltaDeltaG = 14 kT
0	9.22181e-05	1.53392e-10
-1	0.000250516	4.16832e-10
-2	0.000679804	1.13209e-09
-3	0.00183933	3.0702e-09
-4	0.00493781	8.29376e-09
-5	0.0129893	2.21781e-08
-6	0.0325318	5.78672e-08
-7	0.0735816	1.43486e-07
-8	0.14143	3.27977e-07
-9	0.225426	6.82688e-07
-10	0.305976	1.31133e-06
-11	0.370502	2.37908e-06
-12	0.416701	4.15981e-06
-13	0.447633	7.10833e-06
-14	0.467536	1.19773e-05
-15	0.480042	2.00094e-05
-16	0.487788	3.32546e-05
-17	0.49254	5.50929e-05
-18	0.495435	9.10961e-05
-19	0.497182	0.000150448
-20	0.498215	0.000248282
-21	0.498795	0.000409536
-22	0.499068	0.000675329
-23	0.499093	0.00111304
-24	0.498871	0.00183298
-25	0.498363	0.00301677
-26	0.497442	0.00495949
-27	0.495884	0.0081379
-28	0.493315	0.0133125
-29	0.489147	0.0216706
-30	0.482489	0.0350012
-31	0.47207	0.0558477
-32	0.456252	0.087488
-33	0.433259	0.133478
-34	0.401748	0.196501
-35	0.361649	0.276701
-36	0.314775	0.370448
-37	0.264618	0.470764
-38	0.215263	0.569474
-39	0.170136	0.659727
-40	0.131299	0.737403
-41	0.0994261	0.801148
-42	0.0742021	0.851596
-43	0.0547734	0.890454
-44	0.0401043	0.919792
-45	0.0291889	0.941623
-46	0.0211521	0.957697
-47	0.0152798	0.969442
-48	0.0110126	0.977977
-49	0.00792409	0.984155
-50	0.005695	0.988614


