# betaDeltaG0a (kT)	n_alpha / N (MF)	n_alpha / N (SCMF)
# S = 1.1 L_alpha
# h = 1.0 L_alpha
0	0.000184666	0.000184666
-1	0.000501656	0.000501656
-2	0.0013613	0.0013613
-3	0.0036832	0.0036832
-4	0.00988767	0.00988767
-5	0.0260093	0.0260093
-6	0.0651347	0.0651347
-7	0.1473	0.1473
-8	0.283056	0.283056
-9	0.451065	0.451065
-10	0.612137	0.612137
-11	0.741144	0.741144
-12	0.833501	0.833501
-13	0.895335	0.895335
-14	0.935122	0.935122
-15	0.960128	0.960128
-16	0.975623	0.975623
-17	0.985145	0.985145
-18	0.990967	0.990967
-19	0.994517	0.994517
-20	0.99668	0.99668
-21	0.998	0.998
-22	0.998811	0.998811
-23	0.999314	0.999314
-24	0.99963	0.99963
-25	0.99982	0.99982
-26	0.999923	0.999923
-27	0.999969	0.999969
-28	0.999988	0.999988
-29	0.999996	0.999996
-30	0.999998	0.999998


# h = 1.5 L_alpha
0	9.235e-05	9.235e-05
-1	0.000250954	0.000250954
-2	0.000681576	0.000681576
-3	0.00184839	0.00184839
-4	0.00499284	0.00499284
-5	0.0133451	0.0133451
-6	0.0347208	0.0347208
-7	0.0848354	0.0848354
-8	0.183544	0.183544
-9	0.33299	0.33299
-10	0.502849	0.502849
-11	0.655677	0.655677
-12	0.77321	0.77321
-13	0.855325	0.855325
-14	0.909514	0.909514
-15	0.944085	0.944085
-16	0.9657	0.9657
-17	0.979054	0.979054
-18	0.987245	0.987245
-19	0.992248	0.992248
-20	0.995298	0.995298
-21	0.997156	0.997156
-22	0.998292	0.998292
-23	0.998991	0.998991
-24	0.999427	0.999427
-25	0.999699	0.999699
-26	0.99986	0.99986
-27	0.999941	0.999941
-28	0.999977	0.999977
-29	0.999991	0.999991
-30	0.999997	0.999997


# S = 0.8 L_alpha
# h = 1.0 L_alpha
0	0.000368737	0.000368737
-1	0.00100106	0.00100106
-2	0.00271186	0.00271186
-3	0.00730386	0.00730386
-4	0.0193741	0.0193741
-5	0.0494802	0.0494802
-6	0.116265	0.116265
-7	0.236125	0.236125
-8	0.398277	0.398277
-9	0.565223	0.565223
-10	0.705403	0.705403
-11	0.808684	0.808684
-12	0.87902	0.87902
-13	0.924738	0.924738
-14	0.953644	0.953644
-15	0.971621	0.971621
-16	0.982691	0.982691
-17	0.989468	0.989468
-18	0.993604	0.993604
-19	0.996124	0.996124
-20	0.99766	0.99766
-21	0.998601	0.998601
-22	0.999183	0.999183
-23	0.999548	0.999548
-24	0.999773	0.999773
-25	0.999899	0.999899
-26	0.999959	0.999959
-27	0.999984	0.999984
-28	0.999994	0.999994
-29	0.999998	0.999998
-30	0.999999	0.999999


# h = 1.5 L_alpha
0	0.000184436	0.000184436
-1	0.000501032	0.000501032
-2	0.00135961	0.00135961
-3	0.00367865	0.00367865
-4	0.00987561	0.00987561
-5	0.0259786	0.0259786
-6	0.0650635	0.0650635
-7	0.147163	0.147163
-8	0.28286	0.28286
-9	0.450853	0.450853
-10	0.611954	0.611954
-11	0.741007	0.741007
-12	0.833407	0.833407
-13	0.895273	0.895273
-14	0.935083	0.935083
-15	0.960104	0.960104
-16	0.975608	0.975608
-17	0.985136	0.985136
-18	0.990961	0.990961
-19	0.994513	0.994513
-20	0.996678	0.996678
-21	0.997999	0.997999
-22	0.99881	0.99881
-23	0.999314	0.999314
-24	0.999629	0.999629
-25	0.99982	0.99982
-26	0.999922	0.999922
-27	0.999969	0.999969
-28	0.999988	0.999988
-29	0.999996	0.999996
-30	0.999998	0.999998


# S = 0.5 L_alpha
# h = 1.0 L_alpha
0	0.000737847	0.000737847
-1	0.00200061	0.00200061
-2	0.00540122	0.00540122
-3	0.0144171	0.0144171
-4	0.0373844	0.0373844
-5	0.0906803	0.0906803
-6	0.193772	0.193772
-7	0.34629	0.34629
-8	0.516002	0.516002
-9	0.666392	0.666392
-10	0.780953	0.780953
-11	0.860536	0.860536
-12	0.912877	0.912877
-13	0.946202	0.946202
-14	0.967014	0.967014
-15	0.979862	0.979862
-16	0.987739	0.987739
-17	0.992549	0.992549
-18	0.995481	0.995481
-19	0.997268	0.997268
-20	0.99836	0.99836
-21	0.999033	0.999033
-22	0.999454	0.999454
-23	0.999716	0.999716
-24	0.999869	0.999869
-25	0.999945	0.999945
-26	0.999979	0.999979
-27	0.999992	0.999992
-28	0.999997	0.999997
-29	0.999999	0.999999
-30	1	1


# h = 1.5 L_alpha
0	0.000369196	0.000369196
-1	0.00100231	0.00100231
-2	0.00271522	0.00271522
-3	0.00731283	0.00731283
-4	0.0193973	0.0193973
-5	0.049536	0.049536
-6	0.116379	0.116379
-7	0.236307	0.236307
-8	0.398491	0.398491
-9	0.565419	0.565419
-10	0.705555	0.705555
-11	0.808791	0.808791
-12	0.879091	0.879091
-13	0.924783	0.924783
-14	0.953672	0.953672
-15	0.971638	0.971638
-16	0.982702	0.982702
-17	0.989475	0.989475
-18	0.993608	0.993608
-19	0.996126	0.996126
-20	0.997662	0.997662
-21	0.998602	0.998602
-22	0.999184	0.999184
-23	0.999548	0.999548
-24	0.999773	0.999773
-25	0.999899	0.999899
-26	0.999959	0.999959
-27	0.999984	0.999984
-28	0.999994	0.999994
-29	0.999998	0.999998
-30	0.999999	0.999999


