# betaDeltaG0a (kT)	n_alpha / N	n_beta / N
0	0.000184368	1.23743e-07
-1	0.000500531	3.36155e-07
-2	0.00135593	9.12199e-07
-3	0.00365191	2.46819e-06
-4	0.00968692	6.6276e-06
-5	0.0247393	1.74622e-05
-6	0.0581277	4.41299e-05
-7	0.118043	0.000103677
-8	0.199075	0.000221956
-9	0.282454	0.0004358
-10	0.35237	0.000802233
-11	0.403709	0.00141487
-12	0.438374	0.00242835
-13	0.460401	0.00409616
-14	0.473488	0.00682994
-15	0.480247	0.0112898
-16	0.482169	0.0185147
-17	0.479768	0.0300904
-18	0.472718	0.0483192
-19	0.459993	0.0762768
-20	0.440131	0.117521
-21	0.411765	0.17517
-22	0.374463	0.250321
-23	0.329511	0.34055
-24	0.280012	0.439736
-25	0.230041	0.539786
-26	0.183354	0.633221
-27	0.142469	0.715024
-28	0.108463	0.783054
-29	0.0812764	0.837437
-30	0.0601783	0.879638
-31	0.0441608	0.911676
-32	0.0321942	0.935611
-33	0.0233579	0.953285
-34	0.0168878	0.966225
-35	0.0121792	0.975643
-36	0.00876743	0.982468
-37	0.00630315	0.987398
-38	0.00452724	0.990951
-39	0.00324951	0.993509
-40	0.00233129	0.995348
