# betaDeltaG0b (kT)	F_min (kT/L^2)
# beta_DeltaDeltaG = -1000 kT
-20	-12.2506
-19	-11.1838
-18	-10.1172
-17	-9.05077
-16	-7.98459
-15	-6.91931
-14	-5.85642
-13	-4.79989
-12	-3.76
-11	-2.76099
-10	-1.85111
-9	-1.10033
-8	-0.567721
-7	-0.255355
-6	-0.103747
-5	-0.0398188
-4	-0.014894
-3	-0.00551356
-2	-0.00203296
-1	-0.000748432
0	-0.000275325
1	-0.000101203
2	-3.71369e-05
3	-1.35669e-05
4	-4.89576e-06
5	-1.70582e-06
6	-5.32301e-07
7	-1.00587e-07
8	0


# beta_DeltaDeltaG = 8 kT
-20	-12.2663
-19	-11.2238
-18	-10.2109
-17	-9.24664
-16	-8.34883
-15	-7.52671
-14	-6.77805
-13	-6.09322
-12	-5.45855
-11	-4.86098
-10	-4.28987
-9	-3.73789
-8	-3.20127
-7	-2.67942
-6	-2.17504
-5	-1.69458
-4	-1.24893
-3	-0.853823
-2	-0.528224
-1	-0.288454
0	-0.13749
1	-0.0582527
2	-0.0228634
3	-0.00863583
4	-0.00320924
5	-0.00118507
6	-0.000436554
7	-0.000160662
8	-5.90949e-05


# beta_DeltaDeltaG = 5 kT
-20	-12.2515
-19	-11.1859
-18	-10.1231
-17	-9.06656
-16	-8.02453
-15	-7.01222
-14	-6.05005
-13	-5.15632
-12	-4.34089
-11	-3.60404
-10	-2.93911
-9	-2.33747
-8	-1.79339
-7	-1.3073
-6	-0.887055
-5	-0.546202
-4	-0.297504
-3	-0.141647
-2	-0.0599943
-1	-0.0235455
0	-0.00889342
1	-0.00330498
2	-0.00122042
3	-0.000449577
4	-0.000165454
5	-6.08578e-05
6	-2.23689e-05
7	-8.20821e-06
8	-2.99861e-06


# beta_DeltaDeltaG = 3 kT
-20	-12.2504
-19	-11.1841
-18	-10.1181
-17	-9.05298
-16	-7.99055
-15	-6.93504
-14	-5.89573
-13	-4.88979
-12	-3.94064
-11	-3.07144
-10	-2.29954
-9	-1.63571
-8	-1.08694
-7	-0.659335
-6	-0.356153
-5	-0.169083
-4	-0.071607
-3	-0.0281162
-2	-0.0106232
-1	-0.00394834
0	-0.00145808
1	-0.000537135
2	-0.000197679
3	-7.27111e-05
4	-2.67257e-05
5	-9.80693e-06
6	-3.58265e-06
7	-1.29284e-06
8	-4.50461e-07


