# f (Fraction of hybridised linkages)	F_min (kT/L^2)
# beta_DeltaDeltaG = 1000 kT
0.999487	-7.40925
0.999086	-6.87635
0.998444	-6.34372
0.997405	-5.81156
0.995706	-5.27996
0.992918	-4.74958
0.988343	-4.22119
0.98085	-3.69591
0.968622	-3.17578
0.948797	-2.66405
0.917007	-2.16585
0.866953	-1.68915
0.790534	-1.24579
0.679758	-0.852052
0.532629	-0.527273
0.363461	-0.287978
0.207341	-0.137271
0.098633	-0.0581614
0.0410677	-0.0228277
0.0159111	-0.00862233
0.00597218	-0.00320423
0.00221369	-0.00118322
0.000816652	-0.000435871
0.00030074	-0.000160411
0.000110678	-5.90026e-05
4.07219e-05	-2.16869e-05
1.49815e-05	-7.95798e-06
5.5115e-06	-2.9072e-06
2.02758e-06	-1.04909e-06


# beta_DeltaDeltaG = -1000 kT
1	-16.5171
0.999999	-15.4504
0.999998	-14.3838
0.999995	-13.3171
0.999986	-12.2506
0.999962	-11.1838
0.999897	-10.1172
0.99972	-9.05077
0.999239	-7.98459
0.997935	-6.91931
0.994421	-5.85642
0.985082	-4.79989
0.961125	-3.76
0.904495	-2.76099
0.790053	-1.85111
0.607548	-1.10033
0.390647	-0.567721
0.205304	-0.255355
0.0910271	-0.103747
0.0363661	-0.0398188
0.0138256	-0.014894
0.0051501	-0.00551356
0.00190345	-0.00203296
0.000701445	-0.000748432
0.000258211	-0.000275325
9.50126e-05	-0.000101203
3.49562e-05	-3.71369e-05
1.28601e-05	-1.35669e-05
4.73101e-06	-4.89576e-06


# beta_DeltaDeltaG = 8 kT
0.999714	-16.5186
0.999226	-15.4518
0.997916	-14.386
0.994471	-13.3231
0.985853	-12.2663
0.96648	-11.2238
0.930022	-10.2109
0.874833	-9.24664
0.806667	-8.34883
0.735338	-7.52671
0.670018	-6.77805
0.616315	-6.09322
0.575655	-5.45855
0.546425	-4.86098
0.525609	-4.28987
0.509937	-3.73789
0.496315	-3.20127
0.481742	-2.67942
0.462978	-2.17504
0.436196	-1.69458
0.396912	-1.24893
0.340866	-0.853823
0.266896	-0.528224
0.182058	-0.288454
0.10384	-0.13749
0.0493945	-0.0582527
0.0205661	-0.0228634
0.00796798	-0.00863583
0.00299076	-0.00320924


# beta_DeltaDeltaG = 5 kT
0.999986	-16.5171
0.999961	-15.4505
0.999893	-14.3839
0.99971	-13.3178
0.999213	-12.2515
0.997881	-11.1859
0.994376	-10.1231
0.985611	-9.06656
0.965899	-8.02453
0.928752	-7.01222
0.872299	-6.05005
0.801951	-5.15632
0.726982	-4.34089
0.655721	-3.60404
0.592452	-2.93911
0.536571	-2.33747
0.483539	-1.79339
0.426628	-1.3073
0.359116	-0.887055
0.277794	-0.546202
0.18825	-0.297504
0.10706	-0.141647
0.0508789	-0.0599943
0.02118	-0.0235455
0.00820565	-0.00889342
0.00307997	-0.00330498
0.00114165	-0.00122042
0.000421165	-0.000449577
0.000155098	-0.000165454


# beta_DeltaDeltaG = 3 kT
0.999998	-16.5171
0.999994	-15.4508
0.999984	-14.384
0.999956	-13.3171
0.999881	-12.2504
0.999677	-11.1841
0.999124	-10.1181
0.997642	-9.05298
0.993743	-7.99055
0.983989	-6.93504
0.962019	-5.89573
0.920318	-4.88979
0.85563	-3.94064
0.77141	-3.07144
0.674264	-2.29954
0.569389	-1.63571
0.458583	-1.08694
0.342506	-0.659335
0.227106	-0.356153
0.127959	-0.169083
0.0606995	-0.071607
0.0252804	-0.0281162
0.00979951	-0.0106232
0.00367921	-0.00394834
0.00136391	-0.00145808
0.000503184	-0.000537135
0.000185305	-0.000197679
6.81963e-05	-7.27111e-05
2.50916e-05	-2.67257e-05


