# betaDeltaG0a (kT)	n_alpha / N	n_beta / N
# beta_DeltaDeltaG = 3
-40	0.000185613	0.999808
-39	0.000190676	0.999792
-38	0.000203314	0.999753
-37	0.000231987	0.999671
-36	0.000288025	0.999528
-35	0.00038192	0.99931
-34	0.00052349	0.999004
-33	0.000726411	0.998583
-32	0.00101181	0.998001
-31	0.00141071	0.997196
-30	0.00196703	0.996078
-29	0.00274212	0.994523
-28	0.00382108	0.992361
-27	0.00532142	0.989356
-26	0.00740469	0.985183
-25	0.0102915	0.979398
-24	0.0142807	0.971398
-23	0.0197715	0.960377
-22	0.0272881	0.945267
-21	0.0374999	0.924697
-20	0.0512269	0.896961
-19	0.0694088	0.860058
-18	0.0930021	0.81185
-17	0.122756	0.750422
-16	0.158823	0.67473
-15	0.200193	0.585503
-14	0.244087	0.486135
-13	0.285603	0.382976
-12	0.317994	0.284302
-11	0.333707	0.197958
-10	0.325889	0.128873
-9	0.290299	0.0780759
-8	0.228545	0.0435895
-7	0.152603	0.0220895
-6	0.0838667	0.0100546
-5	0.0385265	0.00415796
-4	0.0156991	0.00161398
-3	0.00602118	0.000606866
-2	0.00225076	0.000225131
-1	0.00083297	8.30807e-05
0	0.000307111	3.05991e-05


# beta_DeltaDeltaG = 5
-40	0.000288027	0.999528
-39	0.000381927	0.99931
-38	0.000523505	0.999004
-37	0.000726441	0.998583
-36	0.00101187	0.998001
-35	0.00141082	0.997196
-34	0.00196725	0.996078
-33	0.00274256	0.994524
-32	0.00382193	0.992362
-31	0.00532307	0.989358
-30	0.0074079	0.985186
-29	0.0102978	0.979404
-28	0.0142929	0.97141
-27	0.0197952	0.9604
-26	0.0273343	0.945311
-25	0.0375898	0.92478
-24	0.0514016	0.897118
-23	0.0697482	0.860351
-22	0.0936604	0.812388
-21	0.12403	0.751387
-20	0.161275	0.67641
-19	0.20488	0.588308
-18	0.252938	0.490585
-17	0.302013	0.389598
-16	0.347633	0.293455
-15	0.385391	0.209638
-14	0.412003	0.142617
-13	0.425537	0.0929985
-12	0.424694	0.0584943
-11	0.407784	0.0356101
-10	0.3723	0.0209512
-9	0.316026	0.0118171
-8	0.240662	0.00628965
-7	0.15714	0.00309253
-6	0.0851265	0.00138293
-5	0.0387848	0.000566638
-4	0.0157417	0.00021903
-3	0.00602743	8.22162e-05
-2	0.00225163	3.048e-05
-1	0.000833089	1.12454e-05
0	0.000307127	4.14135e-06


# beta_DeltaDeltaG = 8
-40	0.00196728	0.996078
-39	0.00274262	0.994524
-38	0.00382206	0.992362
-37	0.00532332	0.989358
-36	0.00740838	0.985187
-35	0.0102987	0.979405
-34	0.0142947	0.971412
-33	0.0197988	0.960403
-32	0.0273412	0.945317
-31	0.0376031	0.924792
-30	0.0514277	0.897141
-29	0.0697989	0.860395
-28	0.0937588	0.812468
-27	0.124221	0.751531
-26	0.161644	0.67666
-25	0.205589	0.588726
-24	0.254287	0.49125
-23	0.304545	0.390591
-22	0.352298	0.294839
-21	0.393792	0.21143
-20	0.426763	0.144783
-19	0.450836	0.095463
-18	0.467013	0.0611654
-17	0.476797	0.0383945
-16	0.481485	0.0237578
-15	0.48178	0.0145502
-14	0.477613	0.00883783
-13	0.468012	0.00532507
-12	0.45095	0.00317725
-11	0.423256	0.00186943
-10	0.380893	0.00107648
-9	0.320406	0.000599124
-8	0.242612	0.0003163
-7	0.157844	0.000154767
-6	0.0853179	6.90201e-05
-5	0.0388236	2.82406e-05
-4	0.015748	1.09094e-05
-3	0.00602836	4.09394e-06
-2	0.00225176	1.5176e-06
-1	0.000833107	5.59885e-07
0	0.000307129	2.06188e-07


# beta_DeltaDeltaG = 11
-40	0.0142948	0.971412
-39	0.0197989	0.960403
-38	0.0273415	0.945318
-37	0.0376038	0.924793
-36	0.051429	0.897142
-35	0.0698014	0.860397
-34	0.0937637	0.812472
-33	0.12423	0.751538
-32	0.161663	0.676672
-31	0.205624	0.588747
-30	0.254354	0.491283
-29	0.304672	0.390641
-28	0.352532	0.294908
-27	0.394216	0.21152
-26	0.427512	0.144891
-25	0.452135	0.0955873
-24	0.46923	0.0613015
-23	0.480531	0.0385387
-22	0.487715	0.0239074
-21	0.492099	0.0147029
-20	0.494596	0.00899219
-19	0.495762	0.00547982
-18	0.495861	0.00333119
-17	0.494911	0.00202119
-16	0.492676	0.00122412
-15	0.488608	0.000739751
-14	0.481732	0.000445645
-13	0.470464	0.000267165
-12	0.452384	0.000158917
-11	0.424071	9.3329e-05
-10	0.381335	5.3681e-05
-9	0.320628	2.9856e-05
-8	0.242711	1.57556e-05
-7	0.157879	7.70741e-06
-6	0.0853275	3.43672e-06
-5	0.0388255	1.40609e-06
-4	0.0157483	5.43156e-07
-3	0.00602841	2.03827e-07
-2	0.00225177	7.5557e-08
-1	0.000833108	2.78751e-08
0	0.00030713	1.02655e-08


# beta_DeltaDeltaG = 14
-40	0.093764	0.812472
-39	0.124231	0.751539
-38	0.161664	0.676673
-37	0.205626	0.588748
-36	0.254358	0.491284
-35	0.304678	0.390643
-34	0.352544	0.294911
-33	0.394237	0.211524
-32	0.42755	0.144897
-31	0.4522	0.0955935
-30	0.46934	0.0613083
-29	0.480718	0.0385459
-28	0.488027	0.0239148
-27	0.492619	0.0147106
-26	0.495457	0.00899995
-25	0.497186	0.00548764
-24	0.498214	0.00333909
-23	0.498794	0.00202918
-22	0.499067	0.00123229
-21	0.499093	0.000747848
-20	0.498872	0.000453531
-19	0.498364	0.000274974
-18	0.49744	0.000166642
-17	0.495867	0.00010092
-16	0.493254	6.10519e-05
-15	0.488955	3.68691e-05
-14	0.48194	2.22015e-05
-13	0.470587	1.33065e-05
-12	0.452456	7.91382e-06
-11	0.424112	4.64721e-06
-10	0.381357	2.67284e-06
-9	0.320639	1.48651e-06
-8	0.242715	7.84443e-07
-7	0.157881	3.83734e-07
-6	0.085328	1.71105e-07
-5	0.0388256	7.00052e-08
-4	0.0157484	2.70422e-08
-3	0.00602841	1.01479e-08
-2	0.00225177	3.76176e-09
-1	0.000833108	1.38782e-09
0	0.00030713	5.11088e-10


