# h/L (L = 20 nm)	F (kT / L^2)
# beta_DeltaG0a = -5.8
0.05	8.86788
0.1	6.62347
0.15	5.27828
0.2	4.31077
0.25	3.55357
0.3	2.93092
0.35	2.67924
0.4	2.46526
0.45	2.28044
0.5	2.11902
0.55	1.97697
0.6	1.85141
0.65	1.70912
0.7	1.57738
0.75	1.45473
0.8	1.33999
0.85	1.23222
0.9	1.13061
0.95	1.03449
1	0.943303
1.05	0.856567
1.1	0.773866
1.15	0.694842
1.2	0.619182
1.25	0.546611
1.3	0.476886
1.35	0.409793
1.4	0.34514
1.45	0.282757
1.5	0.222488
1.55	0.164196
1.6	0.107755
1.65	0.0530501
1.7	-2.11994e-05
1.75	-1.76363e-05
1.8	-1.40732e-05
1.85	-1.05101e-05
1.9	-6.94694e-06
1.95	-3.3838e-06
2	0


# beta_DeltaG0a = -8.7
0.05	7.22875
0.1	5.24348
0.15	4.06094
0.2	3.21088
0.25	2.54463
0.3	1.99554
0.35	1.81617
0.4	1.68832
0.45	1.60949
0.5	1.58513
0.55	1.63656
0.6	1.85037
0.65	1.70816
0.7	1.57648
0.75	1.45389
0.8	1.33921
0.85	1.23149
0.9	1.12991
0.95	1.03383
1	0.942679
1.05	0.855972
1.1	0.773299
1.15	0.694299
1.2	0.618662
1.25	0.546111
1.3	0.476406
1.35	0.409331
1.4	0.344695
1.45	0.282326
1.5	0.222072
1.55	0.163793
1.6	0.107365
1.65	0.0526719
1.7	-0.000388281
1.75	-0.000323549
1.8	-0.000258813
1.85	-0.000194072
1.9	-0.000129326
1.95	-6.45758e-05
2	0


# beta_DeltaG0a = -11.6
0.05	4.91274
0.1	3.03221
0.15	1.92543
0.2	1.13654
0.25	0.522273
0.3	0.0187071
0.35	-0.112403
0.4	-0.177463
0.45	-0.169141
0.5	-0.0590524
0.55	0.249476
0.6	1.83169
0.65	1.6909
0.7	1.56044
0.75	1.43891
0.8	1.32516
0.85	1.21825
0.9	1.11741
0.95	1.02198
1	0.931415
1.05	0.845241
1.1	0.763052
1.15	0.684496
1.2	0.609264
1.25	0.537087
1.3	0.467727
1.35	0.400972
1.4	0.336633
1.45	0.274541
1.5	0.214545
1.55	0.156508
1.6	0.100306
1.65	0.0458262
1.7	-0.00703343
1.75	-0.00586501
1.8	-0.00469506
1.85	-0.00352357
1.9	-0.00235053
1.95	-0.00117595
2	0


# beta_DeltaG0a = -14.5
0.05	2.36371
0.1	0.521166
0.15	-0.560175
0.2	-1.32897
0.25	-1.92622
0.3	-2.41484
0.35	-2.53034
0.4	-2.57541
0.45	-2.53899
0.5	-2.38355
0.55	-1.97795
0.6	1.54425
0.65	1.42245
0.7	1.3086
0.75	1.20172
0.8	1.101
0.85	1.00575
0.9	0.915407
0.95	0.829482
1	0.747561
1.05	0.669284
1.1	0.594338
1.15	0.522449
1.2	0.453375
1.25	0.386904
1.3	0.322844
1.35	0.261027
1.4	0.201299
1.45	0.143523
1.5	0.0875754
1.55	0.0333433
1.6	-0.0192759
1.65	-0.0703758
1.7	-0.120042
1.75	-0.101087
1.8	-0.0817401
1.85	-0.0619814
1.9	-0.0417885
1.95	-0.0211369
2	0


# beta_DeltaG0a = -17.4
0.05	-0.348334
0.1	-2.14345
0.15	-3.2009
0.2	-3.954
0.25	-4.5396
0.3	-5.01896
0.35	-5.12701
0.4	-5.16586
0.45	-5.12376
0.5	-4.9623
0.55	-4.54797
0.6	-0.33044
0.65	-0.388407
0.7	-0.443628
0.75	-0.496398
0.8	-0.546965
0.85	-0.595537
0.9	-0.642293
0.95	-0.687386
1	-0.730951
1.05	-0.773103
1.1	-0.813945
1.15	-0.85357
1.2	-0.892059
1.25	-0.929485
1.3	-0.965912
1.35	-1.0014
1.4	-1.03601
1.45	-1.06978
1.5	-1.10275
1.55	-1.13498
1.6	-1.1665
1.65	-1.19734
1.7	-1.22754
1.75	-1.09371
1.8	-0.943695
1.85	-0.772336
1.9	-0.571283
1.95	-0.325274
2	0


# beta_DeltaG0a = -20.3
0.05	-3.41649
0.1	-5.09742
0.15	-6.09729
0.2	-6.81349
0.25	-7.37263
0.3	-7.8317
0.35	-7.92612
0.4	-7.95949
0.45	-7.92083
0.5	-7.77655
0.55	-7.41412
0.6	-4.28019
0.65	-4.2968
0.7	-4.31273
0.75	-4.32807
0.8	-4.34287
0.85	-4.35719
0.9	-4.37106
0.95	-4.38452
1	-4.39761
1.05	-4.41035
1.1	-4.42276
1.15	-4.43488
1.2	-4.44671
1.25	-4.45827
1.3	-4.46959
1.35	-4.48067
1.4	-4.49153
1.45	-4.50219
1.5	-4.51264
1.55	-4.5229
1.6	-4.53298
1.65	-4.54289
1.7	-4.55264
1.75	-4.29095
1.8	-3.97788
1.85	-3.58702
1.9	-3.06334
1.95	-2.25359
2	0


