# d (nm)	h (nm)	F (kT)
# Total number of tethers: 8
-40	0.5	23.9659
-40	1.52632	15.0378
-40	2.55263	10.9237
-40	3.57895	8.22013
-40	4.60526	6.20308
-40	5.63158	4.59356
-40	6.65789	3.25425
-40	7.68421	2.10734
-40	8.71053	1.10442
-40	9.73684	0.213346
-40	10.7632	0
-40	11.7895	0
-40	12.8158	0
-40	13.8421	0
-40	14.8684	0
-40	15.8947	0
-40	16.9211	0
-40	17.9474	0
-40	18.9737	0
-40	20	0

-37.9487	0.5	23.9659
-37.9487	1.52632	15.0378
-37.9487	2.55263	10.9237
-37.9487	3.57895	8.22013
-37.9487	4.60526	6.20308
-37.9487	5.63158	4.59356
-37.9487	6.65789	3.25425
-37.9487	7.68421	2.10734
-37.9487	8.71053	1.10442
-37.9487	9.73684	0.213346
-37.9487	10.7632	0
-37.9487	11.7895	0
-37.9487	12.8158	0
-37.9487	13.8421	0
-37.9487	14.8684	0
-37.9487	15.8947	0
-37.9487	16.9211	0
-37.9487	17.9474	0
-37.9487	18.9737	0
-37.9487	20	0

-35.8974	0.5	23.9659
-35.8974	1.52632	15.0378
-35.8974	2.55263	10.9237
-35.8974	3.57895	8.22013
-35.8974	4.60526	6.20308
-35.8974	5.63158	4.59356
-35.8974	6.65789	3.25425
-35.8974	7.68421	2.10734
-35.8974	8.71053	1.10442
-35.8974	9.73684	0.213346
-35.8974	10.7632	0
-35.8974	11.7895	0
-35.8974	12.8158	0
-35.8974	13.8421	0
-35.8974	14.8684	0
-35.8974	15.8947	0
-35.8974	16.9211	0
-35.8974	17.9474	0
-35.8974	18.9737	0
-35.8974	20	0

-33.8462	0.5	23.9659
-33.8462	1.52632	15.0378
-33.8462	2.55263	10.9237
-33.8462	3.57895	8.22013
-33.8462	4.60526	6.20308
-33.8462	5.63158	4.59356
-33.8462	6.65789	3.25425
-33.8462	7.68421	2.10734
-33.8462	8.71053	1.10442
-33.8462	9.73684	0.213346
-33.8462	10.7632	0
-33.8462	11.7895	0
-33.8462	12.8158	0
-33.8462	13.8421	0
-33.8462	14.8684	0
-33.8462	15.8947	0
-33.8462	16.9211	0
-33.8462	17.9474	0
-33.8462	18.9737	0
-33.8462	20	0

-31.7949	0.5	23.9659
-31.7949	1.52632	15.0378
-31.7949	2.55263	10.9237
-31.7949	3.57895	8.22013
-31.7949	4.60526	6.20308
-31.7949	5.63158	4.59356
-31.7949	6.65789	3.25425
-31.7949	7.68421	2.10734
-31.7949	8.71053	1.10442
-31.7949	9.73684	0.213346
-31.7949	10.7632	0
-31.7949	11.7895	0
-31.7949	12.8158	0
-31.7949	13.8421	0
-31.7949	14.8684	0
-31.7949	15.8947	0
-31.7949	16.9211	0
-31.7949	17.9474	0
-31.7949	18.9737	0
-31.7949	20	0

-29.7436	0.5	23.9659
-29.7436	1.52632	15.0378
-29.7436	2.55263	10.9237
-29.7436	3.57895	8.22013
-29.7436	4.60526	6.20308
-29.7436	5.63158	4.59356
-29.7436	6.65789	3.25425
-29.7436	7.68421	2.10734
-29.7436	8.71053	1.10442
-29.7436	9.73684	0.213346
-29.7436	10.7632	0
-29.7436	11.7895	0
-29.7436	12.8158	0
-29.7436	13.8421	0
-29.7436	14.8684	0
-29.7436	15.8947	0
-29.7436	16.9211	0
-29.7436	17.9474	0
-29.7436	18.9737	0
-29.7436	20	0

-27.6923	0.5	23.9659
-27.6923	1.52632	15.0378
-27.6923	2.55263	10.9237
-27.6923	3.57895	8.22013
-27.6923	4.60526	6.20308
-27.6923	5.63158	4.59356
-27.6923	6.65789	3.25425
-27.6923	7.68421	2.10734
-27.6923	8.71053	1.10442
-27.6923	9.73684	0.213346
-27.6923	10.7632	0
-27.6923	11.7895	0
-27.6923	12.8158	0
-27.6923	13.8421	0
-27.6923	14.8684	0
-27.6923	15.8947	0
-27.6923	16.9211	0
-27.6923	17.9474	0
-27.6923	18.9737	0
-27.6923	20	0

-25.641	0.5	14.9017
-25.641	1.52632	7.98557
-25.641	2.55263	4.41717
-25.641	3.57895	2.56033
-25.641	4.60526	2.43871
-25.641	5.63158	2.87543
-25.641	6.65789	1.64101
-25.641	7.68421	0.696794
-25.641	8.71053	1.10442
-25.641	9.73684	0.213346
-25.641	10.7632	0
-25.641	11.7895	0
-25.641	12.8158	0
-25.641	13.8421	0
-25.641	14.8684	0
-25.641	15.8947	0
-25.641	16.9211	0
-25.641	17.9474	0
-25.641	18.9737	0
-25.641	20	0

-23.5897	0.5	11.3163
-23.5897	1.52632	5.3234
-23.5897	2.55263	2.36589
-23.5897	3.57895	0.164974
-23.5897	4.60526	-1.59988
-23.5897	5.63158	-2.5125
-23.5897	6.65789	-1.94255
-23.5897	7.68421	-2.29823
-23.5897	8.71053	-2.64275
-23.5897	9.73684	-2.05595
-23.5897	10.7632	-1.10282
-23.5897	11.7895	-1.08599
-23.5897	12.8158	0
-23.5897	13.8421	0
-23.5897	14.8684	0
-23.5897	15.8947	0
-23.5897	16.9211	0
-23.5897	17.9474	0
-23.5897	18.9737	0
-23.5897	20	0

-21.5385	0.5	12.0895
-21.5385	1.52632	6.09594
-21.5385	2.55263	3.21329
-21.5385	3.57895	1.23496
-21.5385	4.60526	-0.322708
-21.5385	5.63158	-1.66648
-21.5385	6.65789	-2.96954
-21.5385	7.68421	-4.23809
-21.5385	8.71053	-4.98974
-21.5385	9.73684	-5.40098
-21.5385	10.7632	-4.02034
-21.5385	11.7895	-3.32899
-21.5385	12.8158	-2.20061
-21.5385	13.8421	-1.09265
-21.5385	14.8684	0
-21.5385	15.8947	0
-21.5385	16.9211	0
-21.5385	17.9474	0
-21.5385	18.9737	0
-21.5385	20	0

-19.4872	0.5	10.1763
-19.4872	1.52632	4.43211
-19.4872	2.55263	1.67185
-19.4872	3.57895	-0.250036
-19.4872	4.60526	-1.85134
-19.4872	5.63158	-3.18226
-19.4872	6.65789	-4.0765
-19.4872	7.68421	-3.55232
-19.4872	8.71053	-4.83844
-19.4872	9.73684	-5.57616
-19.4872	10.7632	-5.62202
-19.4872	11.7895	-5.54477
-19.4872	12.8158	-5.46681
-19.4872	13.8421	-3.33687
-19.4872	14.8684	-2.19913
-19.4872	15.8947	-1.08729
-19.4872	16.9211	0
-19.4872	17.9474	0
-19.4872	18.9737	0
-19.4872	20	0

-17.4359	0.5	10.3535
-17.4359	1.52632	4.61967
-17.4359	2.55263	1.89034
-17.4359	3.57895	0.0320434
-17.4359	4.60526	-1.41517
-17.4359	5.63158	-2.63767
-17.4359	6.65789	-3.74938
-17.4359	7.68421	-4.91285
-17.4359	8.71053	-5.71253
-17.4359	9.73684	-6.71558
-17.4359	10.7632	-6.85219
-17.4359	11.7895	-5.72186
-17.4359	12.8158	-5.62954
-17.4359	13.8421	-5.53828
-17.4359	14.8684	-5.13925
