# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
-240	1	467.334
-240	3.05263	293.238
-240	5.10526	213.012
-240	7.15789	160.293
-240	9.21053	120.96
-240	11.2632	89.5745
-240	13.3158	63.458
-240	15.3684	41.0931
-240	17.4211	21.5362
-240	19.4737	4.16025
-240	21.5263	0
-240	23.5789	0
-240	25.6316	0
-240	27.6842	0
-240	29.7368	0
-240	31.7895	0
-240	33.8421	0
-240	35.8947	0
-240	37.9474	0
-240	40	0

-227.692	1	467.334
-227.692	3.05263	293.238
-227.692	5.10526	213.012
-227.692	7.15789	160.293
-227.692	9.21053	120.96
-227.692	11.2632	89.5745
-227.692	13.3158	63.458
-227.692	15.3684	41.0931
-227.692	17.4211	21.5362
-227.692	19.4737	4.16025
-227.692	21.5263	0
-227.692	23.5789	0
-227.692	25.6316	0
-227.692	27.6842	0
-227.692	29.7368	0
-227.692	31.7895	0
-227.692	33.8421	0
-227.692	35.8947	0
-227.692	37.9474	0
-227.692	40	0

-215.385	1	465.764
-215.385	3.05263	292.476
-215.385	5.10526	212.474
-215.385	7.15789	159.829
-215.385	9.21053	120.559
-215.385	11.2632	89.3651
-215.385	13.3158	63.2462
-215.385	15.3684	40.8555
-215.385	17.4211	21.3506
-215.385	19.4737	4.01252
-215.385	21.5263	-0.0926616
-215.385	23.5789	0
-215.385	25.6316	0
-215.385	27.6842	0
-215.385	29.7368	0
-215.385	31.7895	0
-215.385	33.8421	0
-215.385	35.8947	0
-215.385	37.9474	0
-215.385	40	0

-203.077	1	464.746
-203.077	3.05263	291.961
-203.077	5.10526	212.124
-203.077	7.15789	159.586
-203.077	9.21053	120.327
-203.077	11.2632	89.0087
-203.077	13.3158	62.9546
-203.077	15.3684	40.6962
-203.077	17.4211	21.2219
-203.077	19.4737	3.85611
-203.077	21.5263	-0.308353
-203.077	23.5789	-0.257537
-203.077	25.6316	-0.205353
-203.077	27.6842	-0.197286
-203.077	29.7368	-0.147709
-203.077	31.7895	-0.141736
-203.077	33.8421	-0.0472345
-203.077	35.8947	0
-203.077	37.9474	0
-203.077	40	0

-190.769	1	461.633
-190.769	3.05263	290.062
-190.769	5.10526	210.492
-190.769	7.15789	158.437
-190.769	9.21053	119.584
-190.769	11.2632	88.5987
-190.769	13.3158	62.574
-190.769	15.3684	40.3051
-190.769	17.4211	20.7333
-190.769	19.4737	3.40588
-190.769	21.5263	-0.682702
-190.769	23.5789	-0.655068
-190.769	25.6316	-0.550401
-190.769	27.6842	-0.406796
-190.769	29.7368	-0.30742
-190.769	31.7895	-0.293234
-190.769	33.8421	-0.240129
-190.769	35.8947	-0.145273
-190.769	37.9474	-0.138528
-190.769	40	0

-178.462	1	458.78
-178.462	3.05263	288.321
-178.462	5.10526	209.322
-178.462	7.15789	157.42
-178.462	9.21053	118.415
-178.462	11.2632	87.3376
-178.462	13.3158	61.575
-178.462	15.3684	39.4273
-178.462	17.4211	20.0446
-178.462	19.4737	2.84657
-178.462	21.5263	-1.19874
-178.462	23.5789	-1.05163
-178.462	25.6316	-0.89667
-178.462	27.6842	-0.745363
-178.462	29.7368	-0.67428
-178.462	31.7895	-0.572687
-178.462	33.8421	-0.507279
-178.462	35.8947	-0.320768
-178.462	37.9474	-0.186746
-178.462	40	0

-166.154	1	452.311
-166.154	3.05263	284.53
-166.154	5.10526	206.692
-166.154	7.15789	155.175
-166.154	9.21053	116.586
-166.154	11.2632	86.0985
-166.154	13.3158	60.6007
-166.154	15.3684	38.4731
-166.154	17.4211	19.1442
-166.154	19.4737	1.99883
-166.154	21.5263	-1.86336
-166.154	23.5789	-1.75447
-166.154	25.6316	-1.57576
-166.154	27.6842	-1.32946
-166.154	29.7368	-1.12034
-166.154	31.7895	-0.902387
-166.154	33.8421	-0.638704
-166.154	35.8947	-0.419719
-166.154	37.9474	-0.189285
-166.154	40	0

-153.846	1	443.286
-153.846	3.05263	279.861
-153.846	5.10526	202.705
-153.846	7.15789	152.337
-153.846	9.21053	114.271
-153.846	11.2632	83.7284
-153.846	13.3158	58.2368
-153.846	15.3684	36.3504
-153.846	17.4211	17.1495
-153.846	19.4737	0.247072
-153.846	21.5263	-3.46188
-153.846	23.5789	-3.04342
-153.846	25.6316	-2.62836
-153.846	27.6842	-2.20327
-153.846	29.7368	-1.64329
-153.846	31.7895	-1.26759
-153.846	33.8421	-0.968544
-153.846	35.8947	-0.605212
-153.846	37.9474	-0.329498
-153.846	40	0

-141.538	1	435.303
-141.538	3.05263	274.213
-141.538	5.10526	198.182
-141.538	7.15789	148.254
-141.538	9.21053	111.048
-141.538	11.2632	81.1073
-141.538	13.3158	56.2109
-141.538	15.3684	34.6609
-141.538	17.4211	15.409
-141.538	19.4737	-1.49596
-141.538	21.5263	-5.41342
-141.538	23.5789	-4.89819
-141.538	25.6316	-4.4514
-141.538	27.6842	-3.67956
-141.538	29.7368	-2.9838
-141.538	31.7895	-2.42713
-141.538	33.8421	-1.79351
-141.538	35.8947	-1.16339
-141.538	37.9474	-0.56457
-141.538	40	0

-129.231	1	423.925
-129.231	3.05263	267.153
-129.231	5.10526	193.338
-129.231	7.15789	144.23
-129.231	9.21053	107.43
-129.231	11.2632	77.3768
-129.231	13.3158	52.6764
-129.231	15.3684	31.5366
-129.231	17.4211	13.0282
-129.231	19.4737	-3.63023
-129.231	21.5263	-7.17537
-129.231	23.5789	-6.53372
-129.231	25.6316	-5.75124
-129.231	27.6842	-5.05324
-129.231	29.7368	-4.46638
-129.231	31.7895	-3.88031
-129.231	33.8421	-3.20693
-129.231	35.8947	-2.1897
-129.231	37.9474	-1.14351
-129.231	40	0

-116.923	1	412.75
-116.923	3.05263	259.49
-116.923	5.10526	188.62
-116.923	7.15789	139.956
-116.923	9.21053	103.741
-116.923	11.2632	74.5488
-116.923	13.3158	50.0332
-116.923	15.3684	28.9963
-116.923	17.4211	10.7724
-116.923	19.4737	-5.82491
-116.923	21.5263	-9.24046
-116.923	23.5789	-8.45007
-116.923	25.6316	-7.67605
-116.923	27.6842	-6.82155
-116.923	29.7368	-5.91208
-116.923	31.7895	-5.09283
-116.923	33.8421	-3.9222
-116.923	35.8947	-2.9772
-116.923	37.9474	-1.60572
-116.923	40	0

-104.615	1	399.935
-104.615	3.05263	252.852
-104.615	5.10526	182.31
-104.615	7.15789	134.935
-104.615	9.21053	99.3201
-104.615	11.2632	71.1061
-104.615	13.3158	47.0661
-104.615	15.3684	25.9285
-104.615	17.4211	7.6227
-104.615	19.4737	-8.78317
-104.615	21.5263	-11.8335
-104.615	23.5789	-10.9017
-104.615	25.6316	-9.67696
-104.615	27.6842	-8.32461
-104.615	29.7368	-7.37499
-104.615	31.7895	-6.14698
-104.615	33.8421	-4.73756
-104.615	35.8947	-3.28519
-104.615	37.9474	-1.82308
-104.615	40	0

-92.3077	1	387.722
-92.3077	3.05263	243.49
-92.3077	5.10526	174.888
-92.3077	7.15789	127.979
-92.3077	9.21053	93.768
-92.3077	11.2632	66.1218
-92.3077	13.3158	42.8675
-92.3077	15.3684	22.577
-92.3077	17.4211	4.78223
-92.3077	19.4737	-11.396
-92.3077	21.5263	-14.5523
-92.3077	23.5789	-13.2287
-92.3077	25.6316	-12.0186
-92.3077	27.6842	-10.7959
-92.3077	29.7368	-9.29702
-92.3077	31.7895	-7.47406
-92.3077	33.8421	-5.66605
-92.3077	35.8947	-3.46265
-92.3077	37.9474	-2.21338
-92.3077	40	0

-80	1	375.613
-80	3.05263	236.22
-80	5.10526	169.591
-80	7.15789	124.01
-80	9.21053	90.6306
-80	11.2632	63.442
-80	13.3158	39.7238
-80	15.3684	19.4434
-80	17.4211	1.54358
-80	19.4737	-14.2384
-80	21.5263	-16.7343
-80	23.5789	-15.3897
-80	25.6316	-13.7701
-80	27.6842	-12.321
-80	29.7368	-10.474
-80	31.7895	-8.88958
-80	33.8421	-6.92985
-80	35.8947	-4.96309
-80	37.9474	-2.44417
-80	40	0

-67.6923	1	362.9
-67.6923	3.05263	227.663
-67.6923	5.10526	161.916
-67.6923	7.15789	117.762
-67.6923	9.21053	85.3173
-67.6923	11.2632	58.6529
-67.6923	13.3158	35.752
-67.6923	15.3684	16.1258
-67.6923	17.4211	-1.388
-67.6923	19.4737	-16.9032
-67.6923	21.5263	-19.4609
-67.6923	23.5789	-17.8439
-67.6923	25.6316	-16.1586
-67.6923	27.6842	-13.9668
-67.6923	29.7368	-12.0793
-67.6923	31.7895	-10.0467
-67.6923	33.8421	-7.87856
-67.6923	35.8947	-5.27388
-67.6923	37.9474	-2.94363
-67.6923	40	0

-55.3846	1	352.487
-55.3846	3.05263	221.455
-55.3846	5.10526	158.4
-55.3846	7.15789	115.572
-55.3846	9.21053	82.0525
-55.3846	11.2632	55.4731
-55.3846	13.3158	32.8946
-55.3846	15.3684	13.5477
-55.3846	17.4211	-3.91118
-55.3846	19.4737	-19.6038
-55.3846	21.5263	-22.1956
-55.3846	23.5789	-20.2771
-55.3846	25.6316	-18.1559
-55.3846	27.6842	-16.2668
-55.3846	29.7368	-14.1948
-55.3846	31.7895	-11.6698
-55.3846	33.8421	-8.9211
-55.3846	35.8947	-5.98147
-55.3846	37.9474	-3.26868
-55.3846	40	0

-43.0769	1	341.277
-43.0769	3.05263	214.714
-43.0769	5.10526	153.03
-43.0769	7.15789	110.841
-43.0769	9.21053	77.9513
-43.0769	11.2632	51.7831
-43.0769	13.3158	29.6663
-43.0769	15.3684	10.1855
-43.0769	17.4211	-6.53602
-43.0769	19.4737	-21.9473
-43.0769	21.5263	-24.0134
-43.0769	23.5789	-22.2575
-43.0769	25.6316	-20.1243
-43.0769	27.6842	-17.9686
-43.0769	29.7368	-15.592
-43.0769	31.7895	-13.0685
-43.0769	33.8421	-10.2174
-43.0769	35.8947	-7.45171
-43.0769	37.9474	-3.99249
