# Separation (nm)	F (kT)
1	12.7236
2	8.53763
3	5.60945
4	3.1841
5	0.785053
6	-1.17891
7	-2.91555
8	-4.62336
9	-3.4354
10	-3.81841
11	-5.57093
12	-7.42997
13	-9.17525
14	-10.3084
15	-11.2992
16	-9.13707
17	-9.7754
18	-10.547
19	-11.3683
20	-10.557
21	-10.496
22	-10.4356
23	-10.3761
24	-10.0044
25	-6.70596
26	-6.66398
27	-6.62272
28	-6.58217
29	-3.30397
30	-3.28372
31	-3.26384
32	-4.44089e-15
33	-4.44089e-15
34	-4.44089e-15
35	-4.44089e-15
36	-4.44089e-15
37	-4.44089e-15
38	-4.44089e-15
39	-4.44089e-15
40	-4.44089e-15
