# h/L	beta F_att^SC	beta F^SC
0.1	-0.00776912	0.0037438
0.2	-0.00631644	0.00173075
0.3	-0.00551206	0.000507805
0.4	-0.00496553	-0.000384079
0.5	-0.00455703	-0.00109129
0.6	-0.00423405	-0.00167993
0.7	-0.00396902	-0.00218564
0.8	-0.00374567	-0.00262996
0.9	-0.00355366	-0.00302686
1	-0.00338599	-0.00338599
1.1	-0.0032223	-0.0032223
1.2	-0.00304414	-0.00304414
1.3	-0.00284849	-0.00284849
1.4	-0.00263123	-0.00263123
1.5	-0.0023865	-0.0023865
1.6	-0.00210554	-0.00210554
1.7	-0.00177425	-0.00177425
1.8	-0.00136739	-0.00136739
1.9	-0.000831242	-0.000831242
2	0	0
