# h/L	beta F_att^SC	beta F^SC
0.1	-0.00754313	0.00396979
0.2	-0.00614921	0.00189798
0.3	-0.00536191	0.000657952
0.4	-0.00485101	-0.000269552
0.5	-0.00443897	-0.000973237
0.6	-0.00411976	-0.00156563
0.7	-0.00387146	-0.00208809
0.8	-0.00366458	-0.00254886
0.9	-0.00347451	-0.00294771
1	-0.00331067	-0.00331067
1.1	-0.00313377	-0.00313377
1.2	-0.0029514	-0.0029514
1.3	-0.00275121	-0.00275121
1.4	-0.00253833	-0.00253833
1.5	-0.00227514	-0.00227514
1.6	-0.00199895	-0.00199895
1.7	-0.0016505	-0.0016505
1.8	-0.00123909	-0.00123909
1.9	-0.000679536	-0.000679536
2	0	0
