# DeltaG0strong (kT)	n_strong / N	n_weak / N	F_min/A (kT / L^2)
-40	0.000602165	0.999428	-0.0122014
-39	0.00107668	0.99893	-0.013471
-38	0.00149486	0.998508	-0.00881967
-37	0.00208252	0.997919	-0.0101389
-36	0.00290368	0.997097	-0.0121073
-35	0.00404885	0.995951	-0.0125916
-34	0.00564438	0.994356	-0.0192384
-33	0.00786547	0.992134	-0.0253361
-32	0.0109542	0.989045	-0.0340411
-31	0.0152432	0.984755	-0.0463637
-30	0.0211873	0.97881	-0.0649514
-29	0.0294023	0.970592	-0.0872043
-28	0.0407124	0.959276	-0.121348
-27	0.0562007	0.943777	-0.167507
-26	0.077254	0.922702	-0.230696
-25	0.105579	0.894337	-0.316759
-24	0.143151	0.856688	-0.432426
-23	0.192026	0.807665	-0.585762
-22	0.253938	0.745478	-0.78627
-21	0.3296	0.669303	-1.0422
-20	0.417771	0.580192	-1.35865
-19	0.514374	0.4819	-1.73266
-18	0.612295	0.381002	-2.14885
-17	0.702507	0.285656	-2.57268
-16	0.776319	0.203166	-2.94684
-15	0.827408	0.137673	-3.19409
-14	0.852099	0.0894757	-3.232
-13	0.8478	0.056116	-3.00747
-12	0.810994	0.0340667	-2.541
-11	0.736572	0.0199788	-1.9344
-10	0.620407	0.0112206	-1.31724
-9	0.467085	0.00593669	-0.791728
-8	0.300367	0.00289635	-0.414033
-7	0.160088	0.00128457	-0.188828
-6	0.0720287	0.000523017	-0.0774803
-5	0.029031	0.000201459	-0.0298906
-4	0.0110813	7.55021e-05	-0.0112051
-3	0.00413447	2.79735e-05	-0.00415172
-2	0.00152901	1.03182e-05	-0.00153146
-1	0.000563586	3.79956e-06	-0.000564016
0	0.000207481	1.39828e-06	-0.000207636
1	7.6348e-05	5.14468e-07	-7.64658e-05
2	2.80896e-05	1.89272e-07	-2.82024e-05
3	1.0334e-05	6.96304e-08	-1.03583e-05
4	3.8017e-06	2.56157e-08	-3.73792e-06
5	1.39857e-06	9.42353e-09	-1.30239e-06
6	5.14507e-07	3.46673e-09	-4.06412e-07
