# DeltaG0strong (kT)	n_weak / N	F_min/A (kT / L^2)
-40	0.999921	-1.38773
-39	0.999921	-1.3876
-38	0.999921	-1.38746
-37	0.999921	-1.38728
-36	0.999921	-1.38715
-35	0.99992	-1.38459
-34	0.999919	-1.38686
-33	0.999916	-1.3867
-32	0.999909	-1.38654
-31	0.999889	-1.38637
-30	0.99984	-1.38617
-29	0.999735	-1.38527
-28	0.999538	-1.38608
-27	0.999207	-1.38498
-26	0.998667	-1.38409
-25	0.997785	-1.38244
-24	0.99634	-1.38031
-23	0.993965	-1.37642
-22	0.990066	-1.36979
-21	0.983672	-1.35927
-20	0.973221	-1.34207
-19	0.956236	-1.31411
-18	0.928883	-1.26936
-17	0.885518	-1.19898
-16	0.818531	-1.09175
-15	0.719492	-0.936827
-14	0.58351	-0.732135
-13	0.41848	-0.49842
-12	0.253615	-0.284189
-11	0.127495	-0.135434
-10	0.0550184	-0.0565173
-9	0.0216929	-0.0219271
-8	0.00820198	-0.00823535
-7	0.00304878	-0.0030532
-6	0.00112591	-0.00112632
-5	0.00041479	-0.000414649
-4	0.000152673	-0.000152458
-3	5.61761e-05	-5.59506e-05
-2	2.06675e-05	-2.04407e-05
-1	7.60334e-06	-7.37637e-06
0	2.79714e-06	-2.57014e-06
1	1.02901e-06	-8.02015e-07
2	3.78554e-07	-1.51554e-07
3	1.39262e-07	0
4	5.12317e-08	0
5	1.88471e-08	0
6	6.93346e-09	0
