# h/L (L = 20 nm)	F/A (kT / L^2)
# betaDeltaG0strong = -40
0.05	5.98642
0.1	4.59965
0.15	3.78843
0.2	3.21286
0.25	2.76641
0.3	2.40163
0.35	2.09321
0.4	1.82604
0.45	1.59038
0.5	1.37957
0.55	1.18887
0.6	1.01478
0.65	0.854627
0.7	0.706348
0.75	0.568302
0.8	0.439168
0.85	0.317865
0.9	0.203497
0.95	0.0953132
1	-0.00732092
1.05	-0.00727299
1.1	-0.00722237
1.15	-0.00717064
1.2	-0.00711536
1.25	-0.0070579
1.3	-0.00699714
1.35	-0.00693267
1.4	-0.00686339
1.45	-0.0067902
1.5	-0.00671051
1.55	-0.00662451
1.6	-0.0122014
1.65	-0.0119741
1.7	-0.0116692
1.75	-0.0112492
1.8	-0.0106558
1.85	-0.00978708
1.9	-0.00845567
1.95	-0.00507494
2	0


# betaDeltaG0strong = -39
0.05	5.98615
0.1	4.59935
0.15	3.78811
0.2	3.21251
0.25	2.76604
0.3	2.40124
0.35	2.0928
0.4	1.82561
0.45	1.58993
0.5	1.37911
0.55	1.18839
0.6	1.01428
0.65	0.85411
0.7	0.705815
0.75	0.561972
0.8	0.432866
0.85	0.311594
0.9	0.197263
0.95	0.0891198
1	-0.013471
1.05	-0.0133388
1.1	-0.0131954
1.15	-0.0130401
1.2	-0.0128699
1.25	-0.0126854
1.3	-0.0124829
1.35	-0.0122588
1.4	-0.0120133
1.45	-0.0117399
1.5	-0.0114344
1.55	-0.00707039
1.6	-0.00695657
1.65	-0.00683102
1.7	-0.00669084
1.75	-0.00653193
1.8	-0.00634342
1.85	-0.00611258
1.9	-0.00580557
1.95	-0.00531488
2	0


# betaDeltaG0strong = -38
0.05	5.98589
0.1	4.59903
0.15	3.78773
0.2	3.21209
0.25	2.76557
0.3	2.395
0.35	2.08666
0.4	1.8196
0.45	1.58405
0.5	1.37337
0.55	1.1828
0.6	1.00883
0.65	0.848798
0.7	0.70064
0.75	0.562714
0.8	0.433696
0.85	0.316468
0.9	0.202065
0.95	0.0938465
1	-0.00881967
1.05	-0.00873965
1.1	-0.008656
1.15	-0.00856932
1.2	-0.00847874
1.25	-0.00838397
1.3	-0.00828556
1.35	-0.00818088
1.4	-0.00807057
1.45	-0.00795413
1.5	-0.00782919
1.55	-0.00769498
1.6	-0.00754962
1.65	-0.0073904
1.7	-0.00721418
1.75	-0.00701356
1.8	-0.00678083
1.85	-0.00649835
1.9	-0.00612828
1.95	-0.0055593
2	0


# betaDeltaG0strong = -37
0.05	5.98558
0.1	4.5928
0.15	3.78178
0.2	3.20652
0.25	2.76038
0.3	2.3959
0.35	2.09143
0.4	1.82416
0.45	1.5884
0.5	1.37749
0.55	1.18671
0.6	1.01253
0.65	0.852293
0.7	0.703936
0.75	0.565816
0.8	0.436611
0.85	0.315239
0.9	0.200805
0.95	0.0925567
1	-0.0101389
1.05	-0.0100295
1.1	-0.00991747
1.15	-0.00979969
1.2	-0.00967775
1.25	-0.00955058
1.3	-0.00941745
1.35	-0.0092765
1.4	-0.00912884
1.45	-0.00897206
1.5	-0.00880426
1.55	-0.00862575
1.6	-0.00843165
1.65	-0.00822064
1.7	-0.00798658
1.75	-0.00772267
1.8	-0.00741742
1.85	-0.00705081
1.9	-0.00658029
1.95	-0.00587733
2	0


