# DeltaG0strong (kT)	F_min_XXp/A (kT / L^2)	F_min_XX/A (kT / L^2)
-30	-0.036732	-0.616395
-29	-0.0507368	-0.616059
-28	-0.0700547	-0.615605
-27	-0.0966579	-0.615135
-26	-0.132757	-0.614568
-25	-0.181255	-0.613808
-24	-0.245808	-0.612113
-23	-0.330705	-0.609424
-22	-0.439739	-0.605212
-21	-0.575208	-0.598223
-20	-0.736857	-0.586867
-19	-0.919211	-0.56866
-18	-1.10859	-0.539886
-17	-1.28145	-0.495732
-16	-1.4049	-0.431152
-15	-1.44183	-0.344052
-14	-1.3646	-0.241269
-13	-1.17504	-0.142503
-12	-0.912746	-0.0700883
-11	-0.635295	-0.0298471
-10	-0.391456	-0.0116953
-9	-0.2103	-0.00441075
-8	-0.0982731	-0.00163792
-7	-0.0409984	-0.000604636
-6	-0.0159531	-0.000222692
-5	-0.00600255	-8.19344e-05
-4	-0.00222727	-3.01189e-05
-3	-0.000822007	-1.10525e-05
-2	-0.000302771	-4.03774e-06
-1	-0.000111446	-1.45707e-06
0	-4.10192e-05	-5.07684e-07
1	-1.5105e-05	-1.58423e-07
2	-5.57092e-06	-2.99366e-08


-30	-0.0649514	-1.38617
-29	-0.0872043	-1.38527
-28	-0.121348	-1.38608
-27	-0.167507	-1.38498
-26	-0.230696	-1.38409
-25	-0.316759	-1.38244
-24	-0.432426	-1.38031
-23	-0.585762	-1.37642
-22	-0.78627	-1.36979
-21	-1.0422	-1.35927
-20	-1.35865	-1.34207
-19	-1.73266	-1.31411
-18	-2.14885	-1.26936
-17	-2.57268	-1.19898
-16	-2.94684	-1.09175
-15	-3.19409	-0.936827
-14	-3.232	-0.732135
-13	-3.00747	-0.49842
-12	-2.541	-0.284189
-11	-1.9344	-0.135434
-10	-1.31724	-0.0565173
-9	-0.791728	-0.0219271
-8	-0.414033	-0.00823535
-7	-0.188828	-0.0030532
-6	-0.0774803	-0.00112632
-5	-0.0298906	-0.000414649
-4	-0.0112051	-0.000152458
-3	-0.00415172	-5.59506e-05
-2	-0.00153146	-2.04407e-05
-1	-0.000564016	-7.37637e-06
0	-0.000207636	-2.57014e-06
1	-7.64658e-05	-8.02015e-07
2	-2.82024e-05	-1.51554e-07


-30	-0.103558	-2.82922
-29	-0.142467	-2.82878
-28	-0.196991	-2.82713
-27	-0.271662	-2.82737
-26	-0.374809	-2.82654
-25	-0.515732	-2.82395
-24	-0.706559	-2.82033
-23	-0.963432	-2.81479
-22	-1.30218	-2.80574
-21	-1.74221	-2.79044
-20	-2.29929	-2.76562
-19	-2.98023	-2.72525
-18	-3.77306	-2.65987
-17	-4.63601	-2.55563
-16	-5.48586	-2.39293
-15	-6.19271	-2.14811
-14	-6.59109	-1.80181
-13	-6.52097	-1.36002
-12	-5.90874	-0.882672
-11	-4.84829	-0.47703
-10	-3.57817	-0.217479
-9	-2.35479	-0.0883838
-8	-1.36153	-0.0338689
-7	-0.683614	-0.0126563
-6	-0.301178	-0.00468282
-5	-0.120889	-0.00172587
-4	-0.0461352	-0.000634824
-3	-0.0172168	-0.00023301
-2	-0.00636817	-8.51313e-05
-1	-0.00234769	-3.07217e-05
0	-0.000864599	-1.07044e-05
1	-0.000318449	-3.34033e-06
2	-0.000117457	-6.31212e-07


-30	-0.164362	-5.54874
-29	-0.225154	-5.545
-28	-0.31021	-5.54408
-27	-0.431215	-5.54282
-26	-0.590786	-5.54002
-25	-0.815752	-5.53867
-24	-1.12114	-5.5331
-23	-1.53381	-5.52519
-22	-2.08498	-5.51203
-21	-2.81106	-5.49103
-20	-3.74551	-5.45597
-19	-4.91654	-5.39881
-18	-6.32771	-5.30607
-17	-7.93942	-5.15656
-16	-9.64478	-4.91952
-15	-11.251	-4.5532
-14	-12.4763	-4.01119
-13	-12.987	-3.26582
-12	-12.5041	-2.35804
-11	-10.979	-1.44417
-10	-8.70748	-0.735229
-9	-6.19776	-0.32057
-8	-3.91676	-0.127136
-7	-2.16381	-0.0481933
-6	-1.0382	-0.0179304
-5	-0.441466	-0.00662203
-4	-0.173573	-0.00243764
-3	-0.0656104	-0.000894983
-2	-0.0243904	-0.00032702
-1	-0.00900884	-0.000118018
0	-0.00332008	-4.11217e-05
1	-0.00122317	-1.28322e-05
2	-0.000451199	-2.42486e-06


