# DeltaG0strong (kT)	F_min_XXp/A (kT / L^2)	F_min_XX/A (kT / L^2)
-30	-0.0649514	-1.38617
-29	-0.0872043	-1.38527
-28	-0.121348	-1.38608
-27	-0.167507	-1.38498
-26	-0.230696	-1.38409
-25	-0.316759	-1.38244
-24	-0.432426	-1.38031
-23	-0.585762	-1.37642
-22	-0.78627	-1.36979
-21	-1.0422	-1.35927
-20	-1.35865	-1.34207
-19	-1.73266	-1.31411
-18	-2.14885	-1.26936
-17	-2.57268	-1.19898
-16	-2.94684	-1.09175
-15	-3.19409	-0.936827
-14	-3.232	-0.732135
-13	-3.00747	-0.49842
-12	-2.541	-0.284189
-11	-1.9344	-0.135434
-10	-1.31724	-0.0565173
-9	-0.791728	-0.0219271
-8	-0.414033	-0.00823535
-7	-0.188828	-0.0030532
-6	-0.0774803	-0.00112632
-5	-0.0298906	-0.000414649
-4	-0.0112051	-0.000152458
-3	-0.00415172	-5.59506e-05
-2	-0.00153146	-2.04407e-05
-1	-0.000564016	-7.37637e-06
0	-0.000207636	-2.57014e-06
1	-7.64658e-05	-8.02015e-07
2	-2.82024e-05	-1.51554e-07


-30	-0.0601739	-1.17547
-29	-0.0808768	-1.1746
-28	-0.112584	-1.17545
-27	-0.155404	-1.17443
-26	-0.214052	-1.17365
-25	-0.294036	-1.1722
-24	-0.401454	-1.1704
-23	-0.544267	-1.16698
-22	-0.731303	-1.16122
-21	-0.970742	-1.15209
-20	-1.26776	-1.13714
-19	-1.62038	-1.11285
-18	-2.01476	-1.07401
-17	-2.41828	-1.01299
-16	-2.77568	-0.920184
-15	-3.01125	-0.786533
-14	-3.04352	-0.610893
-13	-2.82004	-0.412142
-12	-2.36219	-0.232406
-11	-1.77289	-0.109641
-10	-1.18248	-0.0454558
-9	-0.691743	-0.0175793
-8	-0.350973	-0.00659366
-7	-0.155887	-0.0024433
-6	-0.0628767	-0.000901158
-5	-0.0240513	-0.000331733
-4	-0.00898401	-0.000121968
-3	-0.00332414	-4.47608e-05
-2	-0.00122557	-1.63526e-05
-1	-0.000451286	-5.9011e-06
0	-0.000166137	-2.05612e-06
1	-6.11956e-05	-6.41612e-07
2	-2.2584e-05	-1.21243e-07


-30	-0.0505467	-0.810859
-29	-0.06897	-0.810054
-28	-0.0960798	-0.810881
-27	-0.132588	-0.81011
-26	-0.182626	-0.809546
-25	-0.250952	-0.808448
-24	-0.342655	-0.807237
-23	-0.465247	-0.804721
-22	-0.626107	-0.80058
-21	-0.833082	-0.794026
-20	-1.09127	-0.783249
-19	-1.4003	-0.765782
-18	-1.74906	-0.73788
-17	-2.10897	-0.694123
-16	-2.43021	-0.627814
-15	-2.64502	-0.532874
-14	-2.66773	-0.409342
-13	-2.44608	-0.271824
-12	-2.00459	-0.150419
-11	-1.45275	-0.0697984
-10	-0.923888	-0.0286417
-9	-0.509023	-0.0110227
-8	-0.242641	-0.0041261
-7	-0.102567	-0.00152776
-6	-0.0401853	-0.000563319
-5	-0.0151654	-0.000207346
-4	-0.00563384	-7.62317e-05
-3	-0.00208021	-2.79757e-05
-2	-0.000766371	-1.02204e-05
-1	-0.000282142	-3.68819e-06
0	-0.000103883	-1.28507e-06
1	-3.82888e-05	-4.01008e-07
2	-1.41558e-05	-7.5777e-08


-30	-0.0372067	-0.446216
-29	-0.0504312	-0.445411
-28	-0.0703512	-0.446238
-27	-0.0969567	-0.445466
-26	-0.133853	-0.444903
-25	-0.182995	-0.443804
-24	-0.250095	-0.442593
-23	-0.339755	-0.440078
-22	-0.457716	-0.435937
-21	-0.610082	-0.429383
-20	-0.809488	-0.418606
-19	-1.07379	-0.402359
-18	-1.39535	-0.376594
-17	-1.74432	-0.338935
-16	-2.06556	-0.288252
-15	-2.28038	-0.234074
-14	-2.30309	-0.177306
-13	-2.08143	-0.115451
-12	-1.63995	-0.0624759
-11	-1.08811	-0.0284599
-10	-0.578163	-0.0115519
-9	-0.256733	-0.00442346
-8	-0.110131	-0.00165247
-7	-0.0434686	-0.000611384
-6	-0.0164566	-0.000225365
-5	-0.00612115	-8.29436e-05
-4	-0.0022612	-3.04934e-05
-3	-0.000833185	-1.11904e-05
-2	-0.000306751	-4.08817e-06
-1	-0.000112938	-1.47528e-06
0	-4.16175e-05	-5.14029e-07
1	-1.53776e-05	-1.60403e-07
2	-5.72406e-06	-3.03108e-08


