# DeltaG0strong (kT)	F_min_XXp/A (kT / L^2)	F_min_XX/A (kT / L^2)
# beta_Delta = 1
-30	-0.0221837	-5.54821
-29	-0.024781	-5.54763
-28	-0.0289412	-5.54703
-27	-0.0354009	-5.54641
-26	-0.0451089	-5.54874
-25	-0.0593378	-5.545
-24	-0.0797019	-5.54408
-23	-0.108285	-5.54282
-22	-0.146867	-5.54002
-21	-0.202364	-5.53867
-20	-0.274492	-5.5331
-19	-0.37197	-5.52519
-18	-0.500783	-5.51203
-17	-0.669357	-5.49103
-16	-0.884588	-5.45597
-15	-1.153	-5.39881
-14	-1.47548	-5.30607
-13	-1.84119	-5.15656
-12	-2.21942	-4.91952
-11	-2.5482	-4.5532
-10	-2.72902	-4.01119
-9	-2.64424	-3.26582
-8	-2.22402	-2.35804
-7	-1.55203	-1.44417
-6	-0.876222	-0.735229
-5	-0.409258	-0.32057
-4	-0.168331	-0.127136
-3	-0.0648431	-0.0481933
-2	-0.0242823	-0.0179304
-1	-0.00899291	-0.00662203
0	-0.00331678	-0.00243764
1	-0.00122159	-0.000894983
2	-0.000449851	-0.00032702


# beta_Delta = 3
-30	-0.0501623	-5.54703
-29	-0.064703	-5.54641
-28	-0.0857554	-5.54874
-27	-0.118715	-5.545
-26	-0.158259	-5.54408
-25	-0.217508	-5.54282
-24	-0.2986	-5.54002
-23	-0.412139	-5.53867
-22	-0.56582	-5.5331
-21	-0.774406	-5.52519
-20	-1.05286	-5.51203
-19	-1.42282	-5.49103
-18	-1.90454	-5.45597
-17	-2.51729	-5.39881
-16	-3.27092	-5.30607
-15	-4.15337	-5.15656
-14	-5.11094	-4.91952
-13	-6.02567	-4.5532
-12	-6.701	-4.01119
-11	-6.88324	-3.26582
-10	-6.35994	-2.35804
-9	-5.13585	-1.44417
-8	-3.54026	-0.735229
-7	-2.05865	-0.32057
-6	-1.01494	-0.127136
-5	-0.437295	-0.0481933
-4	-0.172927	-0.0179304
-3	-0.0655177	-0.00662203
-2	-0.0243774	-0.00243764
-1	-0.00900694	-0.000894983
0	-0.00331968	-0.00032702
1	-0.00122298	-0.000118018
2	-0.000451039	-4.11217e-05


# beta_Delta = 5
-30	-0.164362	-5.54874
-29	-0.225154	-5.545
-28	-0.31021	-5.54408
-27	-0.431215	-5.54282
-26	-0.590786	-5.54002
-25	-0.815752	-5.53867
-24	-1.12114	-5.5331
-23	-1.53381	-5.52519
-22	-2.08498	-5.51203
-21	-2.81106	-5.49103
-20	-3.74551	-5.45597
-19	-4.91654	-5.39881
-18	-6.32771	-5.30607
-17	-7.93942	-5.15656
-16	-9.64478	-4.91952
-15	-11.251	-4.5532
-14	-12.4763	-4.01119
-13	-12.987	-3.26582
-12	-12.5041	-2.35804
-11	-10.979	-1.44417
-10	-8.70748	-0.735229
-9	-6.19776	-0.32057
-8	-3.91676	-0.127136
-7	-2.16381	-0.0481933
-6	-1.0382	-0.0179304
-5	-0.441466	-0.00662203
-4	-0.173573	-0.00243764
-3	-0.0656104	-0.000894983
-2	-0.0243904	-0.00032702
-1	-0.00900884	-0.000118018
0	-0.00332008	-4.11217e-05
1	-0.00122317	-1.28322e-05
2	-0.000451199	-2.42486e-06


# beta_Delta = 7
-30	-0.602522	-5.54408
-29	-0.832274	-5.54282
-28	-1.14656	-5.54002
-27	-1.57927	-5.53867
-26	-2.15494	-5.5331
-25	-2.92485	-5.52519
-24	-3.93229	-5.51203
-23	-5.22212	-5.49103
-22	-6.82566	-5.45597
-21	-8.74752	-5.39881
-20	-10.9455	-5.30607
-19	-13.3195	-5.15656
-18	-15.6991	-4.91952
-17	-17.8429	-4.5532
-16	-19.4453	-4.01119
-15	-20.1688	-3.26582
-14	-19.7352	-2.35804
-13	-18.0875	-1.44417
-12	-15.4949	-0.735229
-11	-12.4207	-0.32057
-10	-9.28701	-0.127136
-9	-6.39779	-0.0481933
-8	-3.97674	-0.0179304
-7	-2.17915	-0.00662203
-6	-1.04145	-0.00243764
-5	-0.442038	-0.000894983
-4	-0.173661	-0.00032702
-3	-0.0656229	-0.000118018
-2	-0.0243921	-4.11217e-05
-1	-0.0090091	-1.28322e-05
0	-0.00332013	-2.42486e-06
1	-0.00122179	0
2	-0.000448409	0


