# DeltaG0 (kT)	h (nm)	Explicit pair potential (kT / nm^2)	Mean field pair potential (kT / nm^2)
-8.577	5	0.0111382	0.0110325
-8.577	5.5	0.00930046	0.0092019
-8.577	6	0.00784479	0.00775252
-8.577	6.5	0.00665296	0.00656578
-8.577	7	0.00565712	0.00557567
-8.577	7.5	0.00481175	0.00473513
-8.577	8	0.00409063	0.00401861
-8.577	8.5	0.003471	0.00340312
-8.577	9	0.00293998	0.00287591
-8.577	9.5	0.0024865	0.00242588
-8.577	10	0.00210445	0.0020475
-8.577	10.5	0.0017777	0.00172416
-8.577	11	0.00149546	0.001445
-8.577	11.5	0.00125061	0.00120329
-8.577	12	0.00103679	0.000992102
-8.577	12.5	0.000851705	0.000809551
-8.577	13	0.000692326	0.000653046
-8.577	13.5	0.000553163	0.000516249
-8.577	14	0.000434482	0.000399943
-8.577	14.5	0.000330651	0.000298214
-8.577	15	0.000242505	0.000212505
-8.577	15.5	0.000165981	0.000137865
-8.577	16	0.00010118	7.4961e-05
-8.577	16.5	4.63697e-05	2.2146e-05
-8.577	17	-1.28589e-06	-2.37946e-05
-8.577	17.5	-4.07955e-05	-6.15216e-05
-8.577	18	-7.32767e-05	-9.20614e-05
-8.577	18.5	-9.95107e-05	-0.000116804
-8.577	19	-0.00012138	-0.000137197
-8.577	19.5	-0.000138138	-0.00015237
-8.577	20	-0.000150871	-0.000163725
-8.577	20.5	-0.000160077	-0.000171424
-8.577	21	-0.000166654	-0.000176692
-8.577	21.5	-0.000170502	-0.000179295
-8.577	22	-0.000171653	-0.000179197
-8.577	22.5	-0.000171161	-0.000177583
-8.577	23	-0.000169088	-0.000174441
-8.577	23.5	-0.000165605	-0.000169943
-8.577	24	-0.000161064	-0.000164402
-8.577	24.5	-0.000155387	-0.000157844
-8.577	25	-0.000149065	-0.000150727
-8.577	25.5	-0.000142196	-0.000143065
-8.577	26	-0.00013493	-0.000135129
-8.577	26.5	-0.000127272	-0.000126912
-8.577	27	-0.000119512	-0.000118621
-8.577	27.5	-0.000111618	-0.000110299
-8.577	28	-0.000103749	-0.000102073
-8.577	28.5	-9.61377e-05	-9.41277e-05
-8.577	29	-8.84835e-05	-8.63934e-05
-8.577	29.5	-8.11754e-05	-7.88635e-05
-8.577	30	-7.40295e-05	-7.16425e-05
-8.577	30.5	-6.72147e-05	-6.47875e-05
-8.577	31	-6.07085e-05	-5.82796e-05
-8.577	31.5	-5.4492e-05	-5.21345e-05
-8.577	32	-4.86406e-05	-4.63632e-05
-8.577	32.5	-4.3187e-05	-4.10317e-05
-8.577	33	-3.8024e-05	-3.60226e-05
-8.577	33.5	-3.32618e-05	-3.14103e-05
-8.577	34	-2.88125e-05	-2.71195e-05
-8.577	34.5	-2.47555e-05	-2.32475e-05
-8.577	35	-2.10141e-05	-1.96605e-05
-8.577	35.5	-1.76053e-05	-1.64462e-05
-8.577	36	-1.44833e-05	-1.34933e-05
-8.577	36.5	-1.167e-05	-1.08443e-05
-8.577	37	-9.13606e-06	-8.48354e-06
-8.577	37.5	-6.86076e-06	-6.34887e-06
-8.577	38	-4.81048e-06	-4.45197e-06
-8.577	38.5	-3.00081e-06	-2.76145e-06
-8.577	39	-1.38475e-06	-1.2676e-06
-8.577	39.5	0	0

-9.35966	5	0.0107989	0.0106707
-9.35966	5.5	0.0089768	0.00885579
-9.35966	6	0.00753457	0.00742023
-9.35966	6.5	0.00635512	0.00624629
-9.35966	7	0.00537098	0.00526867
-9.35966	7.5	0.00453619	0.00443942
-9.35966	8	0.00382511	0.00373372
-9.35966	8.5	0.00321468	0.00312824
-9.35966	9	0.0026923	0.00261045
-9.35966	9.5	0.00224702	0.00216931
-9.35966	10	0.001873	0.00179992
-9.35966	10.5	0.00155352	0.00148479
-9.35966	11	0.00127829	0.00121353
-9.35966	11.5	0.00104012	0.000979466
-9.35966	12	0.000832618	0.000775421
-9.35966	12.5	0.000653751	0.000599933
-9.35966	13	0.000500451	0.000450501
-9.35966	13.5	0.00036675	0.000320011
-9.35966	14	0.000253886	0.000210452
-9.35966	14.5	0.000155113	0.000114553
-9.35966	15	7.21363e-05	3.50224e-05
-9.35966	15.5	2.81733e-07	-3.41256e-05
-9.35966	16	-5.9632e-05	-9.1365e-05
-9.35966	16.5	-0.000109606	-0.000138431
-9.35966	17	-0.000152939	-0.000179297
-9.35966	17.5	-0.000188202	-0.000211913
-9.35966	18	-0.000216319	-0.000237166
-9.35966	18.5	-0.000238216	-0.000256797
-9.35966	19	-0.000256085	-0.000272473
-9.35966	19.5	-0.000268687	-0.000282657
-9.35966	20	-0.000277259	-0.000289157
-9.35966	20.5	-0.000282398	-0.000291964
-9.35966	21	-0.000284977	-0.000292568
-9.35966	21.5	-0.000284853	-0.000290504
-9.35966	22	-0.000281866	-0.00028557
-9.35966	22.5	-0.000277293	-0.000279255
-9.35966	23	-0.000271161	-0.000271473
-9.35966	23.5	-0.000263581	-0.000262323
-9.35966	24	-0.000254969	-0.000252173
-9.35966	24.5	-0.000245112	-0.000240969
-9.35966	25	-0.000234586	-0.000229237
-9.35966	25.5	-0.000223518	-0.000216988
-9.35966	26	-0.000212041	-0.000204549
-9.35966	26.5	-0.000200153	-0.000191873
-9.35966	27	-0.000188204	-0.000179212
-9.35966	27.5	-0.000176106	-0.000166586
-9.35966	28	-0.000164077	-0.000154169
-9.35966	28.5	-0.000152435	-0.000142212
-9.35966	29	-0.000140729	-0.000130595
-9.35966	29.5	-0.000129517	-0.000119298
-9.35966	30	-0.000118516	-0.000108463
-9.35966	30.5	-0.000107981	-9.81732e-05
-9.35966	31	-9.78761e-05	-8.83964e-05
-9.35966	31.5	-8.81684e-05	-7.91507e-05
-9.35966	32	-7.89835e-05	-7.04583e-05
-9.35966	32.5	-7.03754e-05	-6.24164e-05
-9.35966	33	-6.21774e-05	-5.48487e-05
-9.35966	33.5	-5.45714e-05	-4.78692e-05
-9.35966	34	-4.74268e-05	-4.13653e-05
-9.35966	34.5	-4.0872e-05	-3.54874e-05
-9.35966	35	-3.47973e-05	-3.00353e-05
-9.35966	35.5	-2.92324e-05	-2.51408e-05
-9.35966	36	-2.41113e-05	-2.064e-05
-9.35966	36.5	-1.94761e-05	-1.65974e-05
-9.35966	37	-1.52815e-05	-1.29909e-05
-9.35966	37.5	-1.14981e-05	-9.72659e-06
-9.35966	38	-8.08133e-06	-6.82334e-06
-9.35966	38.5	-5.04957e-06	-4.23393e-06
-9.35966	39	-2.33659e-06	-1.94415e-06
-9.35966	39.5	0	0

-9.89012	5	0.0105737	0.010447
