# DeltaG0 (kT)	h (nm)	Explicit + Derjaguin Pair potential (kT)	Mean field + Derjaguin Pair potential (kT)
-8.577	5	51.9002	50.6501
-8.577	5.5	43.0713	41.9095
-8.577	6	35.6651	34.5857
-8.577	6.5	29.4025	28.4006
-8.577	7	24.0849	23.1559
-8.577	7.5	19.5627	18.7019
-8.577	8	15.7172	14.9206
-8.577	8.5	12.4508	11.7146
-8.577	9	9.68144	9.0023
-8.577	9.5	7.33737	6.71209
-8.577	10	5.35422	4.77972
-8.577	10.5	3.67725	3.15048
-8.577	11	2.26335	1.7815
-8.577	11.5	1.07714	0.63752
-8.577	12	0.0890526	-0.31082
-8.577	12.5	-0.726718	-1.08908
-8.577	13	-1.39369	-1.72088
-8.577	13.5	-1.9317	-2.22597
-8.577	14	-2.35834	-2.62174
-8.577	14.5	-2.68885	-2.92332
-8.577	15	-2.93644	-3.14394
-8.577	15.5	-3.11289	-3.29529
-8.577	16	-3.22829	-3.38722
-8.577	16.5	-3.29203	-3.42917
-8.577	17	-3.31151	-3.42846
-8.577	17.5	-3.29333	-3.3916
-8.577	18	-3.24405	-3.32526
-8.577	18.5	-3.16941	-3.23504
-8.577	19	-3.074	-3.12532
-8.577	19.5	-2.96189	-3.00023
-8.577	20	-2.83705	-2.86369
-8.577	20.5	-2.70273	-2.71891
-8.577	21	-2.56159	-2.56854
-8.577	21.5	-2.41595	-2.41476
-8.577	22	-2.26815	-2.25991
-8.577	22.5	-2.12006	-2.10579
-8.577	23	-1.97309	-1.95372
-8.577	23.5	-1.82851	-1.80496
-8.577	24	-1.6874	-1.66053
-8.577	24.5	-1.5507	-1.52133
-8.577	25	-1.41919	-1.38804
-8.577	25.5	-1.29337	-1.26113
-8.577	26	-1.17366	-1.14096
-8.577	26.5	-1.0604	-1.02777
-8.577	27	-0.953797	-0.921704
-8.577	27.5	-0.853956	-0.822818
-8.577	28	-0.760924	-0.73108
-8.577	28.5	-0.674579	-0.646327
-8.577	29	-0.594829	-0.568347
-8.577	29.5	-0.521541	-0.496962
-8.577	30	-0.454498	-0.431948
-8.577	30.5	-0.393485	-0.373014
-8.577	31	-0.338226	-0.319853
-8.577	31.5	-0.288463	-0.272158
-8.577	32	-0.243913	-0.22961
-8.577	32.5	-0.204246	-0.191858
-8.577	33	-0.169165	-0.158573
-8.577	33.5	-0.138372	-0.129444
-8.577	34	-0.111558	-0.104161
-8.577	34.5	-0.0884182	-0.0824037
-8.577	35	-0.0686472	-0.0638688
-8.577	35.5	-0.0519648	-0.0482718
-8.577	36	-0.0381035	-0.0353388
-8.577	36.5	-0.0268061	-0.0248257
-8.577	37	-0.0178186	-0.0164767
-8.577	37.5	-0.0109084	-0.0100696
-8.577	38	-0.00586683	-0.00540396
-8.577	38.5	-0.00249259	-0.00228799
-8.577	39	-0.000598169	-0.000547562
-8.577	39.5	0	0

-9.35966	5	44.7354	43.3536
-9.35966	5.5	36.1929	34.9188
-9.35966	6	29.0605	27.888
-9.35966	6.5	23.0606	21.9845
-9.35966	7	17.9953	17.0104
-9.35966	7.5	13.7157	12.8168
-9.35966	8	10.1039	9.28628
-9.35966	8.5	7.06291	6.32213
-9.35966	9	4.51128	3.8432
-9.35966	9.5	2.37764	1.77849
-9.35966	10	0.59792	0.0639107
