# i	j	beta * DeltaG^cnf_ij
0	534	25.54020519
0	552	16.44896953
0	573	20.4906688
0	585	11.86301408
0	615	33.05076842
0	620	12.48770696
0	659	12.16849196
0	705	11.17415132
0	711	29.28606461
0	752	25.29482454
0	794	11.0707143
0	819	25.2122776
0	845	33.75600204
0	899	22.62978735
0	915	18.03380028
0	928	19.69709065
0	929	13.50160967
0	950	14.76270967
1	527	13.15585327
1	550	19.01068214
1	665	11.41191299
1	709	33.42932245
1	721	29.85616366
1	736	13.67417479
1	749	17.7259139
1	760	29.42473171
1	769	29.0069498
1	771	14.82034219
1	783	16.25963493
1	812	11.38258369
1	829	26.48287754
1	842	14.80830233
1	888	17.19614117
1	914	33.00559786
1	922	33.75134918
1	935	19.78257459
1	976	27.54307905
2	520	33.13589506
2	538	33.01842382
2	595	13.05870735
2	613	25.64149763
2	648	25.64823108
2	654	11.02329747
2	670	33.10660884
2	687	28.81406336
2	690	13.21670589
2	700	34.30112091
2	715	28.42793405
2	728	33.02749867
2	744	17.48328676
2	807	20.85910685
2	839	20.58057966
2	849	27.69376092
2	889	33.06465052
3	548	30.23503847
3	557	12.54315613
3	579	14.47060118
3	641	34.3796179
3	733	33.20864645
3	756	35.68530952
3	757	13.38078388
3	841	20.22451808
3	850	15.05620842
3	966	16.09442871
4	508	10.81577244
4	576	12.18604307
4	597	20.33433008
4	616	24.24295353
4	697	15.07038673
4	708	16.66996622
4	737	11.88453596
4	778	14.89138523
4	784	30.69589156
4	791	12.27937405
4	792	15.52263759
4	830	35.5942702
4	850	33.11677938
4	854	33.04170571
4	857	33.02396624
4	881	20.20106388
4	895	11.77579493
4	907	15.08527686
4	946	13.32504524
4	966	33.2698339
4	985	23.31583363
5	511	17.08491575
5	564	14.57330447
5	584	11.94730427
5	597	31.40958526
5	598	16.60689353
5	622	23.07448112
5	642	33.39832077
5	662	24.93708026
5	672	12.58964184
5	679	15.15704174
5	693	33.08626316
5	709	22.74380365
5	777	32.63872332
5	784	33.49130646
5	795	10.81425913
5	796	33.25391517
5	798	28.35891522
5	810	13.90329975
5	822	17.0205676
5	854	26.37187922
5	875	15.36628976
5	892	23.72067883
5	916	12.61878264
5	958	24.19327649
5	959	20.89061491
5	976	29.78098301
6	507	37.29190653
6	517	25.09893842
6	525	35.14706003
6	537	29.44372067
6	542	10.1066171
6	559	13.81325512
6	593	33.63043773
6	594	33.12512164
6	610	13.76199093
6	714	20.30942728
6	729	11.48330528
6	787	13.27831731
6	796	33.55987768
6	799	10.53269872
6	809	11.16155716
6	817	24.53712309
6	863	10.27756901
6	876	27.53417676
6	897	33.28266874
6	918	9.903564985
6	941	17.19794454
6	949	15.33550296
6	961	20.91513307
6	999	11.05992058
7	541	19.4113853
7	574	23.68934509
7	645	16.48264985
7	658	11.17513804
7	674	20.67845845
7	701	18.79483967
7	722	16.64362545
7	724	26.86687706
7	745	23.82374308
7	761	24.63748274
7	823	17.76416494
7	832	23.6720185
7	886	10.04434261
7	911	11.03525856
7	921	30.37291101
7	948	26.11367785
7	994	15.14355841
8	503	15.02272962
8	523	13.11463198
8	543	33.33341689
8	673	14.49049548
8	727	12.86168056
8	746	13.13992193
8	789	32.83515694
8	834	15.86671005
8	864	33.18823633
8	898	23.3241288
8	925	18.05368142
8	989	23.16995801
8	996	31.40714461
9	524	23.87916825
9	533	25.1063757
9	536	14.27153626
9	562	24.59851112
9	586	30.74334827
9	588	10.67585957
9	592	10.6248219
9	604	24.52454043
9	614	20.39155445
9	631	21.471617
9	632	34.45848849
9	686	33.2976603
9	707	12.11346607
9	738	33.81464576
9	751	28.08871185
9	766	17.50789393
9	818	18.97907273
9	883	23.16737364
9	884	33.27832239
9	912	11.22525882
9	938	29.21658895
9	983	33.05799868
9	995	13.13888288
10	529	33.93316497
10	531	23.0834559
10	572	13.25616349
10	585	22.82752595
10	615	35.44544518
10	620	25.73398111
10	641	19.25875433
10	659	20.17205446
10	671	13.27100959
10	733	24.18600296
10	755	12.5275735
10	852	29.0536961
10	855	30.07323571
10	915	22.68007935
10	920	17.41644624
10	968	24.09390999
10	987	14.49402666
10	990	28.34720229
11	503	21.64337644
11	523	17.90402142
11	543	36.54252743
11	673	11.88812875
11	727	17.94562412
11	746	15.03219987
11	789	19.91667227
11	834	13.77942907
11	864	24.50486159
11	925	28.04631447
11	981	22.10952868
11	989	20.54558424
12	502	29.61505152
12	523	33.08140061
12	543	33.17173008
12	589	14.54159708
12	624	33.69980354
12	673	11.85119934
12	727	33.98618053
12	746	24.94298649
12	774	29.98083025
12	789	10.78122818
12	797	34.2299606
12	834	18.81513139
12	864	16.62974534
12	975	23.32110019
12	981	16.63838309
12	989	29.56242907
13	553	23.8111128
13	558	11.83361232
13	560	24.44895769
13	568	36.77474431
13	605	15.9385045
13	607	30.34157742
13	651	33.02623447
13	657	23.81935681
13	803	20.8872956
13	821	29.14623443
13	836	31.64436852
13	984	19.1600356
13	986	33.05692831
14	517	33.13855757
14	518	36.62733158
14	542	26.04692426
14	594	11.1963736
14	596	20.37628499
14	610	13.4764811
14	629	12.38028428
14	675	11.66522234
14	714	18.42360792
14	788	22.53279381
14	809	17.60764417
14	815	20.12942599
14	846	17.9245618
14	863	21.23841558
14	918	29.65732028
14	949	21.75604564
15	501	15.27783799
15	522	30.15776833
15	534	21.72666813
15	573	19.94193178
15	639	12.79293757
15	666	24.57847032
15	699	23.99036859
15	739	28.71603072
15	764	14.71615525
15	767	21.35475833
15	785	21.29072355
15	800	15.49538489
15	816	33.56839958
15	819	16.97829273
15	837	15.33662924
15	845	16.75560244
15	901	18.0443518
15	913	21.02317494
15	923	12.82596741
16	514	24.33696308
16	529	29.33305749
16	534	25.38260774
16	583	13.26175071
16	585	34.57431086
16	615	14.01398015
16	647	21.44083477
16	656	28.23924909
16	668	21.29292577
16	669	22.11423137
16	705	31.94784244
16	752	16.19709192
16	816	14.10313509
16	819	34.46904327
16	837	35.67299279
16	843	32.39900087
16	851	30.36793012
16	915	24.95088362
17	520	33.59343635
17	535	33.26466469
17	589	11.73065548
17	673	16.74476517
17	746	33.93809891
17	774	18.98549525
17	789	10.26713171
17	797	21.161652
17	834	20.27411231
17	864	12.71133669
17	904	27.86862347
17	975	15.29622054
17	981	13.2660372
17	986	33.59719764
17	989	29.19783692
18	521	33.01282592
18	544	15.92673439
18	660	33.00091946
18	696	34.47711729
18	710	21.38807191
18	725	34.17326498
18	782	21.74263767
18	847	20.35196921
18	858	17.16154507
18	890	18.22749492
18	891	33.23923642
18	896	21.80997801
18	902	28.99169641
18	905	19.32230381
18	908	33.19936912
18	951	21.15221853
18	955	32.37122033
18	960	11.08428282
18	962	15.44851851
18	974	10.84780609
18	982	11.87965003
19	525	17.18428001
19	593	35.24231538
19	634	18.20659906
19	646	25.69603013
19	677	10.61902083
19	682	28.58641165
19	689	14.87594795
19	718	33.69543404
19	729	33.81180229
19	730	33.13874037
19	743	10.13374808
19	808	33.50051582
19	817	20.74498182
19	876	19.86443685
19	878	22.09321043
19	961	13.22923173
19	998	28.82642007
20	522	14.10575104
20	552	11.88705246
20	573	21.90805951
20	619	12.07897262
20	620	35.73645904
20	684	18.23256491
20	723	15.88099878
20	741	23.71708136
20	753	27.5509791
20	767	15.28877067
20	772	9.809165705
20	779	33.00861244
20	794	19.49105369
20	805	24.33844501
20	845	17.41256236
20	857	33.10176291
20	860	12.77079182
20	861	14.47824475
20	867	31.58283852
20	899	10.12461869
20	913	14.17397278
20	917	11.85028899
20	928	27.05745298
20	929	16.52956808
20	950	34.33539517
20	956	19.28055293
20	997	18.90119315
21	535	18.66860567
21	540	27.74289302
21	558	13.95174389
21	560	11.10226673
21	605	28.0808141
21	720	19.75256844
21	774	21.57822341
21	803	12.58280628
21	840	20.4012763
21	906	24.20083823
21	975	31.03057834
21	979	18.71771146
21	986	13.33238852
22	561	32.34328898
22	581	27.73020451
22	586	33.22809553
22	604	13.30311578
22	608	36.03216273
22	655	32.437489
22	664	15.56324596
22	686	14.32952691
22	691	15.89730257
22	770	26.94021496
22	775	21.55298535
22	827	17.50979563
22	831	10.51428074
22	856	33.30801824
22	865	10.74100666
22	884	10.73080629
22	887	15.95203194
22	980	13.33735389
22	983	17.21982127
23	526	12.78266538
23	548	33.26854329
23	557	29.71922474
23	579	11.59613412
23	627	13.82012158
23	698	18.51740975
23	756	12.5140508
23	757	33.67447077
23	762	33.14832159
23	850	27.03602263
