# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-30	5	-1588.44	-1640.14	51.6957	112.282
-30	10	-1440.13	-1452.46	12.3293	102.012
-30	15	-1268.89	-1271.7	2.81006	93.113
-30	20	-1089.64	-1090.4	0.755268	84.1949
-30	25	-911.309	-911.757	0.448064	74.1051
-30	30	-741.795	-742.181	0.386312	64.5461

-29	5	-1477.17	-1528.87	51.6957	110.232
-29	10	-1339.05	-1351.38	12.3293	100.137
-29	15	-1176.65	-1179.46	2.81006	91.353
-29	20	-1006.37	-1007.12	0.755268	82.3221
-29	25	-838.169	-838.616	0.448064	72.1616
-29	30	-678.157	-678.544	0.386312	62.7006

-28	5	-1368.03	-1419.72	51.6957	108.03
-28	10	-1239.88	-1252.21	12.3293	98.1946
-28	15	-1086.22	-1089.03	2.81006	89.4709
-28	20	-925.061	-925.818	0.755268	80.2542
-28	25	-767.016	-767.464	0.448064	70.127
-28	30	-616.451	-616.837	0.386312	60.6827

-27	5	-1261.16	-1312.86	51.6957	105.67
-27	10	-1142.7	-1155.03	12.3293	96.1418
-27	15	-997.759	-1000.57	2.81006	87.4298
-27	20	-845.928	-846.683	0.755268	77.9808
-27	25	-697.949	-698.397	0.448064	67.9891
-27	30	-556.847	-557.233	0.386312	58.5019

-26	5	-1156.73	-1208.43	51.6957	103.173
-26	10	-1047.64	-1059.97	12.3293	93.9465
-26	15	-911.429	-914.239	2.81006	85.1955
-26	20	-769.162	-769.918	0.755268	75.5221
-26	25	-631.079	-631.527	0.448064	65.7267
-26	30	-499.491	-499.877	0.386312	56.189

-25	5	-1054.85	-1106.55	51.6957	100.575
-25	10	-954.856	-967.186	12.3293	91.5936
-25	15	-827.439	-830.249	2.81006	82.7467
-25	20	-694.936	-695.691	0.755268	72.9066
-25	25	-566.548	-566.996	0.448064	63.3078
-25	30	-444.509	-444.895	0.386312	53.754

-24	5	-955.614	-1007.31	51.6957	97.8847
-24	10	-864.511	-876.84	12.3293	89.0665
-24	15	-746.017	-748.827	2.81006	80.0552
-24	20	-623.394	-624.149	0.755268	70.1546
-24	25	-504.527	-504.975	0.448064	60.7008
-24	30	-392.033	-392.419	0.386312	51.1696

-23	5	-859.125	-910.82	51.6957	95.0664
-23	10	-776.794	-789.123	12.3293	86.3278
-23	15	-667.419	-670.229	2.81006	77.0942
-23	20	-554.671	-555.427	0.755268	67.2675
-23	25	-445.213	-445.662	0.448064	57.892
-23	30	-342.231	-342.618	0.386312	48.4006

-22	5	-765.541	-817.236	51.6957	92.0687
-22	10	-691.944	-704.273	12.3293	83.3234
-22	15	-591.916	-594.726	2.81006	73.8713
-22	20	-488.911	-489.667	0.755268	64.2238
-22	25	-388.809	-389.256	0.448064	54.8854
-22	30	-295.297	-295.684	0.386312	45.4353

-21	5	-675.062	-726.758	51.6957	88.8476
-21	10	-610.252	-622.581	12.3293	80.005
-21	15	-519.752	-522.563	2.81006	70.4201
-21	20	-426.289	-427.045	0.755268	60.9832
-21	25	-335.51	-335.958	0.448064	51.6764
-21	30	-251.421	-251.808	0.386312	42.2887

-20	5	-587.936	-639.632	51.6957	85.3539
-20	10	-532.05	-544.38	12.3293	76.339
-20	15	-451.144	-453.954	2.81006	66.763
-20	20	-367.024	-367.78	0.755268	57.5042
-20	25	-285.532	-285.98	0.448064	48.2387
-20	30	-210.772	-211.159	0.386312	38.9849

-19	5	-504.469	-556.164	51.6957	81.5162
-19	10	-457.693	-470.022	12.3293	72.3164
-19	15	-386.299	-389.108	2.81006	62.889
-19	20	-311.37	-312.126	0.755268	53.7577
-19	25	-239.115	-239.563	0.448064	44.5558
-19	30	-173.496	-173.882	0.386312	35.548

-18	5	-425.045	-476.741	51.6957	77.2536
-18	10	-387.53	-399.86	12.3293	67.9548
-18	15	-325.453	-328.263	2.81006	58.7528
-18	20	-259.607	-260.362	0.755268	49.7194
-18	25	-196.495	-196.944	0.448064	40.6488
-18	30	-139.712	-140.098	0.386312	32.0053

-17	5	-350.123	-401.819	51.6957	72.507
-17	10	-321.892	-334.222	12.3293	63.2653
-17	15	-268.901	-271.711	2.81006	54.2928
-17	20	-212.035	-212.79	0.755268	45.3722
-17	25	-157.877	-158.325	0.448064	36.5632
-17	30	-109.512	-109.898	0.386312	28.3821

-16	5	-280.2	-331.896	51.6957	67.2544
-16	10	-261.119	-273.448	12.3293	58.2177
-16	15	-216.994	-219.804	2.81006	49.4563
-16	20	-168.96	-169.715	0.755268	40.7338
-16	25	-123.413	-123.861	0.448064	32.3459
-16	30	-82.9723	-83.3586	0.386312	24.6831

-15	5	-215.786	-267.481	51.6957	61.4879
-15	10	-205.599	-217.928	12.3293	52.7455
-15	15	-170.121	-172.931	2.81006	44.2237
-15	20	-130.645	-131.401	0.755268	35.8618
-15	25	-93.2168	-93.6649	0.448064	28.0318
-15	30	-60.1788	-60.5651	0.386312	20.8849

-14	5	-157.404	-209.1	51.6957	55.1804
-14	10	-155.79	-168.12	12.3293	46.7871
-14	15	-128.667	-131.477	2.81006	38.6281
-14	20	-97.2916	-98.0468	0.755268	30.8222
-14	25	-67.3784	-67.8265	0.448064	23.6296
-14	30	-41.2421	-41.6284	0.386312	16.9704

-13	5	-105.621	-157.317	51.6957	48.2844
-13	10	-112.19	-124.519	12.3293	40.3342
-13	15	-92.9606	-95.7707	2.81006	32.7453
-13	20	-69.0405	-69.7957	0.755268	25.6628
-13	25	-45.9889	-46.4369	0.448064	19.1353
-13	30	-26.2604	-26.6467	0.386312	12.9933

-12	5	-61.0392	-112.735	51.6957	40.7818
-12	10	-75.2637	-87.593	12.3293	33.4586
-12	15	-63.2416	-66.0516	2.81006	26.6693
-12	20	-45.9935	-46.7487	0.755268	20.4226
-12	25	-29.1234	-29.5715	0.448064	14.5991
-12	30	-15.2162	-15.6025	0.386312	9.13925

-11	5	-24.229	-75.9247	51.6957	32.772
-11	10	-45.3615	-57.6909	12.3293	26.3213
-11	15	-39.6464	-42.4565	2.81006	20.5238
