# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-30	5	-1749.27	-1814.75	65.4769	121.389
-30	10	-1603.24	-1618.88	15.6368	110.671
-30	15	-1428.09	-1431.63	3.5423	100.966
-30	20	-1244.3	-1245.17	0.864191	93.6946
-30	25	-1043.86	-1044.32	0.463938	84.4686
-30	30	-852.575	-853.021	0.446196	72.608

-29	5	-1628.92	-1694.39	65.4769	119.272
-29	10	-1493.52	-1509.15	15.6368	108.772
-29	15	-1328.06	-1331.61	3.5423	99.1019
-29	20	-1151.37	-1152.23	0.864191	92.1418
-29	25	-960.657	-961.121	0.463938	81.9137
-29	30	-781.047	-781.493	0.446196	70.3924

-28	5	-1510.81	-1576.29	65.4769	116.905
-28	10	-1385.73	-1401.37	15.6368	106.778
-28	15	-1229.86	-1233.4	3.5423	97.3142
-28	20	-1060.08	-1060.95	0.864191	90.3904
-28	25	-880.043	-880.507	0.463938	79.3205
-28	30	-711.897	-712.343	0.446196	67.8637

-27	5	-1395.17	-1460.65	65.4769	114.345
-27	10	-1280.04	-1295.67	15.6368	104.565
-27	15	-1133.43	-1136.97	3.5423	95.5445
-27	20	-970.689	-971.553	0.864191	88.34
-27	25	-802.001	-802.465	0.463938	76.7698
-27	30	-645.384	-645.83	0.446196	65.1454

-26	5	-1282.15	-1347.62	65.4769	111.698
-26	10	-1176.69	-1192.32	15.6368	102.097
-26	15	-1038.79	-1042.33	3.5423	93.7168
-26	20	-883.539	-884.403	0.864191	85.8889
-26	25	-726.513	-726.977	0.463938	74.1847
-26	30	-581.606	-582.052	0.446196	62.423

-25	5	-1171.78	-1237.26	65.4769	109.036
-25	10	-1075.89	-1091.53	15.6368	99.4793
-25	15	-946.041	-949.583	3.5423	91.75
-25	20	-799.054	-799.918	0.864191	83.0141
-25	25	-653.709	-654.173	0.463938	71.3708
-25	30	-520.502	-520.948	0.446196	59.8025

-24	5	-1064.09	-1129.56	65.4769	106.334
-24	10	-977.724	-993.361	15.6368	96.8675
-24	15	-855.37	-858.912	3.5423	89.5426
-24	20	-717.622	-718.486	0.864191	79.8075
-24	25	-583.891	-584.355	0.463938	68.207
-24	30	-461.978	-462.424	0.446196	57.2492

-23	5	-959.167	-1024.64	65.4769	103.465
-23	10	-882.131	-897.768	15.6368	94.3278
-23	15	-767.078	-770.62	3.5423	86.9691
-23	20	-639.505	-640.369	0.864191	76.3988
-23	25	-517.382	-517.846	0.463938	64.7854
-23	30	-406.022	-406.468	0.446196	54.6404

-22	5	-857.249	-922.726	65.4769	100.328
-22	10	-789.072	-804.709	15.6368	91.7747
-22	15	-681.597	-685.139	3.5423	83.9018
-22	20	-564.884	-565.748	0.864191	72.8063
-22	25	-454.335	-454.799	0.463938	61.3153
-22	30	-352.765	-353.212	0.446196	51.8281

-21	5	-758.581	-824.058	65.4769	96.9859
-21	10	-698.646	-714.283	15.6368	89.0286
-21	15	-599.461	-603.004	3.5423	80.278
-21	20	-493.989	-494.854	0.864191	68.9274
-21	25	-394.731	-395.195	0.463938	57.8998
-21	30	-302.467	-302.913	0.446196	48.716

-20	5	-663.296	-728.773	65.4769	93.5822
-20	10	-611.149	-626.786	15.6368	85.8797
-20	15	-521.21	-524.753	3.5423	76.1483
-20	20	-427.131	-427.996	0.864191	64.7481
-20	25	-338.543	-339.007	0.463938	54.4595
-20	30	-255.429	-255.875	0.446196	45.3194

-19	5	-571.434	-636.911	65.4769	90.1189
-19	10	-527.091	-542.727	15.6368	82.1203
-19	15	-447.305	-450.847	3.5423	71.5958
-19	20	-364.542	-365.406	0.864191	60.4203
-19	25	-285.872	-286.336	0.463938	50.8412
-19	30	-211.893	-212.339	0.446196	41.7289

-18	5	-483.149	-548.626	65.4769	86.3776
-18	10	-447.162	-462.799	15.6368	77.6052
-18	15	-378.148	-381.691	3.5423	66.6562
-18	20	-306.301	-307.165	0.864191	56.0551
-18	25	-236.96	-237.424	0.463938	46.9294
-18	30	-172.012	-172.458	0.446196	38.0141

-17	5	-398.883	-464.36	65.4769	82.0243
-17	10	-372.135	-387.772	15.6368	72.3304
-17	15	-314.096	-317.638	3.5423	61.4101
-17	20	-252.464	-253.328	0.864191	51.5917
-17	25	-192.115	-192.579	0.463938	42.7161
-17	30	-135.903	-136.349	0.446196	34.1807

-16	5	-319.41	-384.887	65.4769	76.7504
-16	10	-302.715	-318.352	15.6368	66.4176
-16	15	-255.383	-258.926	3.5423	55.9945
-16	20	-203.196	-204.061	0.864191	46.8938
-16	25	-151.601	-152.065	0.463938	38.2824
-16	30	-103.72	-104.166	0.446196	30.139

-15	5	-245.734	-311.211	65.4769	70.4323
-15	10	-239.454	-255.091	15.6368	60.0426
-15	15	-202.151	-205.694	3.5423	50.4398
-15	20	-158.783	-159.648	0.864191	41.8783
-15	25	-115.606	-116.07	0.463938	33.6763
-15	30	-75.7382	-76.1843	0.446196	25.7627

-14	5	-178.848	-244.325	65.4769	63.2108
-14	10	-182.73	-198.366	15.6368	53.3628
-14	15	-154.585	-158.128	3.5423	44.6398
-14	20	-119.54	-120.404	0.864191	36.5629
-14	25	-84.3274	-84.7913	0.463938	28.8309
-14	30	-52.3059	-52.7521	0.446196	21.0578

