# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-30	5	-1385.27	-1420.8	35.5314	103.524
-29	5	-1282.87	-1318.4	35.5314	101.251
-28	5	-1182.81	-1218.35	35.5314	98.8368
-27	5	-1085.23	-1120.76	35.5314	96.329
-26	5	-990.158	-1025.69	35.5314	93.8131
-25	5	-897.588	-933.119	35.5314	91.3333
-24	5	-807.489	-843.02	35.5314	88.8617
-23	5	-719.885	-755.417	35.5314	86.3269
-22	5	-634.891	-670.422	35.5314	83.6234
-21	5	-552.747	-588.278	35.5314	80.5932
-20	5	-473.881	-509.413	35.5314	77.0325
-19	5	-398.923	-434.455	35.5314	72.7512
-18	5	-328.649	-364.18	35.5314	67.6675
-17	5	-263.822	-299.353	35.5314	61.8877
-16	5	-205.031	-240.562	35.5314	55.6321
-15	5	-152.666	-188.197	35.5314	49.0484
-14	5	-107.02	-142.552	35.5314	42.2092
-13	5	-68.2868	-103.818	35.5314	35.2543
-12	5	-36.4833	-72.0147	35.5314	28.3839
-11	5	-11.4246	-46.9561	35.5314	21.7959
-10	5	7.26215	-28.2693	35.5314	15.6696
-9	5	20.1401	-15.3914	35.5314	10.226
-8	5	28.0656	-7.46582	35.5314	5.83769
-7	5	32.2907	-3.24077	35.5314	2.85875
-6	5	34.2368	-1.29464	35.5314	1.22576
-5	5	35.0384	-0.493063	35.5314	0.483128
-4	5	35.348	-0.183422	35.5314	0.182742
-3	5	35.4642	-0.0672944	35.5314	0.0679441
-2	5	35.5072	-0.0242605	35.5314	0.0250943
-1	5	35.5231	-0.00838626	35.5314	0.00924522
0	5	35.5289	-0.00254059	35.5314	0.00340296

-30	10	-1223.05	-1231.59	8.53738	92.9469
-29	10	-1130.97	-1139.5	8.53738	91.2045
-28	10	-1040.68	-1049.21	8.53738	89.3626
-27	10	-952.272	-960.81	8.53738	87.4335
-26	10	-865.83	-874.368	8.53738	85.4373
-25	10	-781.433	-789.97	8.53738	83.3303
-24	10	-699.25	-707.788	8.53738	80.9802
-23	10	-619.612	-628.15	8.53738	78.2103
-22	10	-543.027	-551.564	8.53738	74.8521
-21	10	-470.134	-478.671	8.53738	70.823
-20	10	-401.579	-410.116	8.53738	66.2045
-19	10	-337.852	-346.39	8.53738	61.2013
-18	10	-279.251	-287.788	8.53738	55.9681
-17	10	-225.99	-234.528	8.53738	50.5125
-16	10	-178.304	-186.841	8.53738	44.8268
-15	10	-136.382	-144.919	8.53738	39.0066
-14	10	-100.288	-108.825	8.53738	33.1947
-13	10	-69.9508	-78.4882	8.53738	27.507
-12	10	-45.2085	-53.7458	8.53738	22.0139
-11	10	-25.8447	-34.3821	8.53738	16.7562
-10	10	-11.5938	-20.1311	8.53738	11.8119
-9	10	-2.03473	-10.5721	8.53738	7.4336
-8	10	3.60332	-4.93406	8.53738	4.03947
-7	10	6.46294	-2.07444	8.53738	1.8841
-6	10	7.72497	-0.812413	8.53738	0.780631
-5	10	8.23104	-0.306344	8.53738	0.302228
-4	10	8.424	-0.113379	8.53738	0.11344
-3	10	8.49598	-0.0413996	8.53738	0.04205
-2	10	8.5226	-0.0147815	8.53738	0.015513
-1	10	8.53241	-0.00497029	8.53738	0.00571286
0	10	8.53602	-0.00135838	8.53738	0.00210245

-30	15	-1044.22	-1046.22	1.99834	84.7932
-29	15	-960.202	-962.2	1.99834	83.2209
-28	15	-877.828	-879.826	1.99834	81.4959
-27	15	-797.298	-799.297	1.99834	79.5066
-26	15	-718.956	-720.955	1.99834	77.0939
-25	15	-643.292	-645.29	1.99834	74.1426
-24	15	-570.848	-572.846	1.99834	70.6662
-23	15	-502.086	-504.084	1.99834	66.8119
-22	15	-437.287	-439.286	1.99834	62.7637
-21	15	-376.598	-378.596	1.99834	58.5931
-20	15	-320.16	-322.158	1.99834	54.247
-19	15	-268.176	-270.175	1.99834	49.6862
-18	15	-220.846	-222.845	1.99834	44.9506
-17	15	-178.307	-180.305	1.99834	40.1212
-16	15	-140.602	-142.6	1.99834	35.2976
-15	15	-107.685	-109.684	1.99834	30.5499
-14	15	-79.471	-81.4693	1.99834	25.8946
-13	15	-55.8628	-57.8611	1.99834	21.3387
-12	15	-36.7606	-38.7589	1.99834	16.8827
-11	15	-22.0551	-24.0534	1.99834	12.5583
-10	15	-11.55	-13.5484	1.99834	8.52201
-9	15	-4.80991	-6.80825	1.99834	5.09096
-8	15	-1.04859	-3.04693	1.99834	2.60894
-7	15	0.756157	-1.24219	1.99834	1.15755
-6	15	1.52017	-0.478174	1.99834	0.465061
-5	15	1.8195	-0.178843	1.99834	0.177432
-4	15	1.93245	-0.065896	1.99834	0.0661982
-3	15	1.9744	-0.0239404	1.99834	0.0244817
-2	15	1.98989	-0.00844991	1.99834	0.00902393
-1	15	1.9956	-0.00274365	1.99834	0.00332211
0	15	1.9977	-0.000643396	1.99834	0.00122246

-30	20	-854.536	-855.15	0.614071	75.8697
-29	20	-779.888	-780.502	0.614071	73.3654
-28	20	-707.908	-708.523	0.614071	70.5544
-27	20	-638.83	-639.444	0.614071	67.5872
-26	20	-572.754	-573.368	0.614071	64.5559
-25	20	-509.751	-510.365	0.614071	61.4275
-24	20	-449.956	-450.57	0.614071	58.1287
-23	20	-393.561	-394.175	0.614071	54.6285
