# h (nm)	DeltaG0 (kT)	avg_num_bonds (explicit)	avg_num_bonds (mean field)
15	-15	420.397	477.166
15	-14.75	416.613	474.206
15	-14.5	412.503	470.874
15	-14.25	408.034	467.127
15	-14	403.17	462.918
15	-13.75	397.872	458.196
15	-13.5	392.103	452.904
15	-13.25	385.82	446.983
15	-13	378.981	440.37
15	-12.75	371.543	432.998
15	-12.5	363.463	424.799
15	-12.25	354.698	415.703
15	-12	345.209	405.642
15	-11.75	334.959	394.551
15	-11.5	323.919	382.369
15	-11.25	312.066	369.049
15	-11	299.388	354.556
15	-10.75	285.889	338.876
15	-10.5	271.589	322.021
15	-10.25	256.529	304.036
15	-10	240.777	285.006
15	-9.75	224.426	265.059
15	-9.5	207.602	244.376
15	-9.25	190.459	223.184
15	-9	173.18	201.761
15	-8.75	155.975	180.421
15	-8.5	139.067	159.506
15	-8.25	122.688	139.359
15	-8	107.064	120.305
15	-7.75	92.3975	102.623
15	-7.5	78.8599	86.528
15	-7.25	66.5762	72.1547
15	-7	55.6193	59.5531
15	-6.75	46.0083	48.695
15	-6.5	37.712	39.487
15	-6.25	30.6574	31.7892
15	-6	24.7406	25.4341
15	-5.75	19.8391	20.2437
15	-5.5	15.8223	16.0431
15	-5.25	12.5611	12.6692
15	-5	9.93431	9.97615
15	-4.75	7.83237	7.8374
15	-4.5	6.15955	6.1458
15	-4.25	4.83415	4.81224
15	-4	3.78776	3.76367
15	-3.75	2.96402	2.94087
15	-3.5	2.31704	2.2963
15	-3.25	1.80981	1.79199
15	-3	1.41272	1.39781
15	-2.75	1.10221	1.08996
15	-2.5	0.859602	0.849679
15	-2.25	0.670191	0.662228
15	-2	0.522391	0.516046
15	-1.75	0.407109	0.40208
15	-1.5	0.317222	0.313252
15	-1.25	0.247152	0.244028
15	-1	0.192543	0.19009
15	-0.75	0.149989	0.148067
15	-0.5	0.116834	0.11533
15	-0.25	0.0910042	0.0898284
15	0	0.0708823	0.069964

25	-15	403.177	465.323
25	-14.75	398.087	460.893
25	-14.5	392.549	455.925
25	-14.25	386.526	450.363
25	-14	379.976	444.143
25	-13.75	372.859	437.202
25	-13.5	365.133	429.473
25	-13.25	356.756	420.885
25	-13	347.688	411.37
25	-12.75	337.893	400.861
25	-12.5	327.338	389.293
25	-12.25	315.996	376.613
25	-12	303.852	362.776
25	-11.75	290.9	347.758
25	-11.5	277.151	331.554
25	-11.25	262.632	314.191
25	-11	247.397	295.73
25	-10.75	231.523	276.275
25	-10.5	215.114	255.976
25	-10.25	198.306	235.036
25	-10	181.265	213.705
25	-9.75	164.181	192.279
25	-9.5	147.265	171.085
25	-9.25	130.744	150.468
25	-9	114.842	130.767
25	-8.75	99.7737	112.289
25	-8.5	85.7261	95.2883
25	-8.25	72.8495	79.9444
25	-8	61.2459	66.3545
25	-7.75	50.9651	54.5329
25	-7.5	42.0051	44.4203
25	-7.25	34.3172	35.9006
25	-7	27.8159	28.8192
25	-6.75	22.3902	23.002
25	-6.5	17.9151	18.2711
25	-6.25	14.2614	14.4558
25	-6	11.3046	11.4003
25	-5.75	8.92926	8.96724
25	-5.5	7.03274	7.03866
25	-5.25	5.52612	5.51564
25	-5	4.33414	4.31644
25	-4.75	3.39419	3.37444
25	-4.5	2.65493	2.63584
25	-4.25	2.07473	2.05757
25	-4	1.62013	1.60535
25	-3.75	1.2644	1.25202
25	-3.5	0.986322	0.976153
25	-3.25	0.769129	0.760885
25	-3	0.599594	0.592976
25	-2.75	0.467327	0.462053
25	-2.5	0.364175	0.359994
25	-2.25	0.283754	0.280453
25	-2	0.221069	0.218471
25	-1.75	0.172218	0.170178
25	-1.5	0.134154	0.132555
25	-1.25	0.104497	0.103246
25	-1	0.0813934	0.0804154
25	-0.75	0.0633959	0.0626321
25	-0.5	0.0493769	0.0487806
25	-0.25	0.0384572	0.037992
25	0	0.029952	0.0295892

