# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-7.55709	5	42.1024	-9.59322	51.6957	7.59651
-7.55709	10	5.81282	-6.51651	12.3293	5.38107
-7.55709	15	-1.45755	-4.2676	2.81006	3.65593
-7.55709	20	-1.71846	-2.47372	0.755268	2.2091
-7.55709	25	-0.719846	-1.16791	0.448064	1.0907
-7.55709	30	-0.0378593	-0.424172	0.386312	0.411284

-7.80959	5	40.0205	-11.6752	51.6957	8.9165
-7.80959	10	4.32887	-8.00047	12.3293	6.39266
-7.80959	15	-2.47196	-5.28201	2.81006	4.39557
-7.80959	20	-2.33621	-3.09148	0.755268	2.69689
-7.80959	25	-1.02773	-1.4758	0.448064	1.35639
-7.80959	30	-0.154974	-0.541287	0.386312	0.520364

-8.31952	5	34.7174	-16.9782	51.6957	11.9635
-8.31952	10	0.478599	-11.8507	12.3293	8.78402
-8.31952	15	-5.15422	-7.96428	2.81006	6.1916
-8.31952	20	-4.01083	-4.7661	0.755268	3.92741
-8.31952	25	-1.88901	-2.33707	0.448064	2.06206
-8.31952	30	-0.492822	-0.879133	0.386312	0.826003

-8.577	5	31.4189	-20.2768	51.6957	13.6764
-8.577	10	-1.95762	-14.287	12.3293	10.1572
-8.577	15	-6.88242	-9.69247	2.81006	7.24878
-8.577	20	-5.11691	-5.87218	0.755268	4.67893
-8.577	25	-2.47691	-2.92498	0.448064	2.51628
-8.577	30	-0.731464	-1.11778	0.386312	1.03457

-8.96639	5	25.5595	-26.1362	51.6957	16.4529
-8.96639	10	-6.34634	-18.6757	12.3293	12.4187
-8.96639	15	-10.0441	-12.8542	2.81006	9.02406
-8.96639	20	-7.18591	-7.94118	0.755268	5.98028
-8.96639	25	-3.61179	-4.05985	0.448064	3.34092
-8.96639	30	-1.20883	-1.59514	0.386312	1.43581

