# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-7.55709	5	41.6824	-10.4096	52.092	8.10174
-7.80959	5	39.469	-12.623	52.092	9.44993
-8.31952	5	33.8881	-18.2039	52.092	12.5085
-8.577	5	30.4516	-21.6404	52.092	14.2002
-8.96639	5	24.4001	-27.6918	52.092	16.908

-7.55709	10	5.06635	-7.32973	12.3961	5.97181
-7.80959	10	3.42419	-8.97189	12.3961	7.05434
-8.31952	10	-0.795899	-13.192	12.3961	9.56587
-8.577	10	-3.43907	-15.8351	12.3961	10.9802
-8.96639	10	-8.15531	-20.5514	12.3961	13.2707

-7.55709	15	-2.18223	-4.9658	2.78357	4.22611
-7.80959	15	-3.35271	-6.13628	2.78357	5.06249
-8.31952	15	-6.42688	-9.21045	2.78357	7.06188
-8.577	15	-8.39199	-11.1756	2.78357	8.21763
-8.96639	15	-11.9574	-14.7409	2.78357	10.1239

-7.55709	20	-2.17951	-2.89653	0.717015	2.59372
-7.80959	20	-2.90486	-3.62187	0.717015	3.16651
-8.31952	20	-4.86975	-5.58677	0.717015	4.60346
-8.577	20	-6.16499	-6.88201	0.717015	5.47349
-8.96639	20	-8.57992	-9.29694	0.717015	6.9635

-7.55709	25	-0.893857	-1.33965	0.445795	1.26112
-7.80959	25	-1.2504	-1.69619	0.445795	1.57304
-8.31952	25	-2.25257	-2.69836	0.445795	2.40621
-8.577	25	-2.93962	-3.38542	0.445795	2.94463
-8.96639	25	-4.27022	-4.71602	0.445795	3.92314

-7.55709	30	-0.0991169	-0.469122	0.370005	0.458042
-7.80959	30	-0.229756	-0.599761	0.370005	0.581367
-8.31952	30	-0.608776	-0.978781	0.370005	0.93026
-8.577	30	-0.878201	-1.24821	0.370005	1.17077
-8.96639	30	-1.42068	-1.79068	0.370005	1.63793

