# dg0 (kT)	h (nm)	Total F (kT)	F_att (kT)	F_rep (kT)	avg_num_bonds
-7.55709	5	45.0435	-9.55871	54.6022	7.3699
-7.55709	10	6.52928	-6.6505	13.1798	5.35065
-7.55709	15	-1.54892	-4.55759	3.00867	3.80342
-7.55709	20	-1.84926	-2.75639	0.907138	2.40992
-7.55709	25	-0.843867	-1.33701	0.493141	1.23311
-7.55709	30	-0.0586793	-0.488275	0.429596	0.471327

-7.80959	5	43.031	-11.5712	54.6022	8.58898
-7.80959	10	5.05987	-8.11991	13.1798	6.30489
-7.80959	15	-2.59939	-5.60806	3.00867	4.53166
-7.80959	20	-2.52037	-3.42751	0.907138	2.91811
-7.80959	25	-1.19098	-1.68413	0.493141	1.5251
-7.80959	30	-0.192741	-0.622337	0.429596	0.594998

-8.31952	5	37.9598	-16.6424	54.6022	11.3676
-8.31952	10	1.29567	-11.8841	13.1798	8.5201
-8.31952	15	-5.33679	-8.34547	3.00867	6.26082
-8.31952	20	-4.31512	-5.22226	0.907138	4.17226
-8.31952	25	-2.15278	-2.64592	0.493141	2.28803
-8.31952	30	-0.577873	-1.00747	0.429596	0.938859

-8.577	5	34.8358	-19.7664	54.6022	12.9138
-8.577	10	-1.05738	-14.2372	13.1798	9.77139
-8.577	15	-7.07538	-10.084	3.00867	7.25688
-8.577	20	-5.48419	-6.39132	0.907138	4.92135
-8.577	25	-2.80256	-3.2957	0.493141	2.77068
-8.577	30	-0.848596	-1.27819	0.429596	1.17143

-8.96639	5	29.3277	-25.2745	54.6022	15.4047
-8.96639	10	-5.25354	-18.4333	13.1798	11.8074
-8.96639	15	-10.2161	-13.2248	3.00867	8.90029
-8.96639	20	-7.64294	-8.55007	0.907138	6.1931
-8.96639	25	-4.04405	-4.53719	0.493141	3.63248
-8.96639	30	-1.38722	-1.81681	0.429596	1.61462

