# h / Lmax	F_rep (kT / Lmax^2)	F_att (kT / Lmax^2)	F_plate (kT / Lmax^2)"))
0.05	5.991465	-7.390172	-1.398708
0.1	4.60517	-6.720609	-2.115438
0.15	3.79424	-6.309557	-2.515317
0.2	3.218876	-6.041083	-2.822208
0.25	2.772589	-5.836097	-3.063508
0.3	2.407946	-5.664994	-3.257048
0.35	2.099644	-5.534271	-3.434626
0.4	1.832581	-5.41376	-3.581179
0.45	1.597015	-5.308153	-3.711138
0.5	1.386294	-5.203231	-3.816937
0.55	1.195674	-5.100893	-3.905219
0.6	1.021651	-5.018558	-3.996907
0.65	0.8615658	-4.938658	-4.077092
0.7	0.7133499	-4.86243	-4.14908
0.75	0.5753641	-4.790896	-4.215531
0.8	0.4462871	-4.729149	-4.282862
0.85	0.3250379	-4.672547	-4.347509
0.9	0.210721	-4.608667	-4.397946
0.95	0.1025866	-4.564939	-4.462352
1	0	-4.506302	-4.506302
1.05	0	-4.451464	-4.451464
1.1	0	-4.402522	-4.402522
1.15	0	-4.351103	-4.351103
1.2	0	-4.273848	-4.273848
1.25	0	-4.208405	-4.208405
1.3	0	-4.153436	-4.153436
1.35	0	-4.072843	-4.072843
1.4	0	-3.987914	-3.987914
1.45	0	-3.887365	-3.887365
1.5	0	-3.757696	-3.757696
1.55	0	-3.620555	-3.620555
1.6	0	-3.505037	-3.505037
1.65	0	-3.322498	-3.322498
1.7	0	-3.160466	-3.160466
1.75	0	-2.924162	-2.924162
1.8	0	-2.575303	-2.575303
1.85	0	-2.218367	-2.218367
1.9	0	-1.82762	-1.82762
1.95	0	-1.121401	-1.121401
2	0	0	0
