# h / Lmax	F_rep (kT / Lmax^2)	F_att (kT / Lmax^2)	F_plate (kT / Lmax^2)"))
0.05	5.991465	-0.188635	5.80283
0.1	4.60517	-0.1024546	4.502716
0.15	3.79424	-0.07046576	3.723774
0.2	3.218876	-0.05372447	3.165151
0.25	2.772589	-0.04341805	2.729171
0.3	2.407946	-0.03643214	2.371513
0.35	2.099644	-0.03138388	2.06826
0.4	1.832581	-0.02756496	1.805017
0.45	1.597015	-0.02457493	1.57244
0.5	1.386294	-0.02217027	1.364124
0.55	1.195674	-0.02019437	1.17548
0.6	1.021651	-0.01854192	1.003109
0.65	0.8615658	-0.01713949	0.8444263
0.7	0.7133499	-0.01593432	0.6974156
0.75	0.5753641	-0.01488753	0.5604766
0.8	0.4462871	-0.0139698	0.4323173
0.85	0.3250379	-0.01315867	0.3118792
0.9	0.210721	-0.01243656	0.1982845
0.95	0.1025866	-0.0117896	0.09079699
1	0	-0.01120662	-0.01120662
1.05	0	-0.01065216	-0.01065216
1.1	0	-0.0100971	-0.0100971
1.15	0	-0.009541428	-0.009541428
1.2	0	-0.008985143	-0.008985143
1.25	0	-0.008428244	-0.008428244
1.3	0	-0.007870728	-0.007870728
1.35	0	-0.007312595	-0.007312595
1.4	0	-0.006753843	-0.006753843
1.45	0	-0.00619447	-0.00619447
1.5	0	-0.005634475	-0.005634475
1.55	0	-0.005073854	-0.005073854
1.6	0	-0.004512608	-0.004512608
1.65	0	-0.003950734	-0.003950734
1.7	0	-0.00338823	-0.00338823
1.75	0	-0.002825095	-0.002825095
1.8	0	-0.002261327	-0.002261327
1.85	0	-0.001696924	-0.001696924
1.9	0	-0.001131884	-0.001131884
1.95	0	-0.0005662054	-0.0005662054
2	0	0	0
