# x (nm)  y (nm)  z (nm)  tether type  plate
182.694 150.6 0 alpha   lower
89.256 90.754 0 alpha   lower
79.406 139.294 0 alpha   lower
153.072 93.654 0 alpha   lower
130.854 69.566 0 alpha   lower
85.262 2.286 0 alpha   lower
88.146 36.226 0 alpha   lower
10.582 198.582 0 alpha   lower
45.87 58.386 0 alpha   lower
183.796 96.992 0 alpha   lower
16.214 3.498 0 alpha   lower
23.07 40.11 0 alpha   lower
14.46 142.612 0 alpha   lower
175.106 107.584 0 alpha   lower
113.044 132.686 0 alpha   lower
18.114 17.848 0 alpha   lower
88.534 176.24 0 alpha   lower
53.528 141.354 0 alpha   lower
124.814 191.59 0 alpha   lower
54.642 105.466 0 alpha   lower
172.57 108.736 0 alpha   lower
29.468 109.732 0 alpha   lower
0.432 33.656 0 alpha   lower
178.716 4.938 0 alpha   lower
189.13 178.058 0 alpha   lower
97.698 185.07 0 alpha   lower
149.74 70.738 0 alpha   lower
85.97 113.26 0 alpha   lower
35.048 98.256 0 alpha   lower
49.422 29.99 0 alpha   lower
151.214 22.798 0 alpha   lower
88.412 14.398 0 alpha   lower
120.45 176.186 0 alpha   lower
73.714 190.376 0 alpha   lower
12.756 61.492 0 alpha   lower
19.676 124.87 0 alpha   lower
102.926 192.088 0 alpha   lower
88.86 46.928 0 alpha   lower
184.97 91.626 0 alpha   lower
17.994 133.246 0 alpha   lower
82.956 196.168 0 alpha   lower
119.504 57.256 0 alpha   lower
161.94 19.17 0 alpha   lower
104.58 28.262 0 alpha   lower
144.118 65.644 0 alpha   lower
137.544 22.03 0 alpha   lower
89.172 122.49 0 alpha   lower
27.22 173.436 0 alpha   lower
192.396 137.628 0 alpha   lower
45.916 142.396 0 alpha   lower
84.992 108.994 0 alpha   lower
61.272 163.19 0 alpha   lower
70.834 46.592 0 alpha   lower
51.374 133.516 0 alpha   lower
167.452 147.334 0 alpha   lower
9.396 130.958 0 alpha   lower
85.582 98.604 0 alpha   lower
146.508 142.95 0 alpha   lower
114.86 184.176 0 alpha   lower
62.618 85.854 0 alpha   lower
198.856 61.374 0 alpha   lower
47.02 25.204 0 alpha   lower
197.662 111.976 0 alpha   lower
0.776 15.852 0 alpha   lower
70.528 19.054 0 alpha   lower
107.824 156.98 0 alpha   lower
143.824 29.894 0 alpha   lower
114.768 154.31 0 alpha   lower
106.514 97.104 0 alpha   lower
138.374 74.212 0 alpha   lower
110.108 15.064 0 alpha   lower
146.112 178.714 0 alpha   lower
20.966 74.482 0 alpha   lower
38.604 195.112 0 alpha   lower
111.01 129.358 0 alpha   lower
184.316 32.354 0 alpha   lower
66.658 111.886 0 alpha   lower
198.594 194.064 0 alpha   lower
49.712 1.756 0 alpha   lower
86.106 88.902 0 alpha   lower
156.998 47.618 0 alpha   lower
29.608 100.926 0 alpha   lower
91.662 106.158 0 alpha   lower
18.978 4.25 0 alpha   lower
60.452 160.794 0 alpha   lower
134.528 71.096 0 alpha   lower
171.876 177.544 0 alpha   lower
33.618 126.134 0 alpha   lower
77.89 173.618 0 alpha   lower
75.196 118.268 0 alpha   lower
67.744 25.322 0 alpha   lower
81.154 73.848 0 alpha   lower
76.752 29.696 0 alpha   lower
104.98 55.69 0 alpha   lower
121.786 137.142 0 alpha   lower
47.086 14.12 0 alpha   lower
25.246 166.964 0 alpha   lower
15.888 57.378 0 alpha   lower
196.122 30.192 0 alpha   lower
143.284 137.17 0 alpha   lower
69.012 142.22 20 alphap   upper
