h / L	F_rep (kT/L^2)	F_att (kT/L^2)	F_plate (kT/L^2)
0.05	10.65149	-1.095006	9.556486
0.1	8.186969	-0.6771585	7.509811
0.15	6.745316	-0.4960864	6.249229
0.2	5.722446	-0.3929062	5.32954
0.25	4.929047	-0.3257809	4.603266
0.3	4.280792	-0.2784701	4.002322
0.35	3.732701	-0.2432683	3.489433
0.4	3.257923	-0.2160269	3.041896
0.45	2.839138	-0.1943063	2.644832
0.5	2.464523	-0.1765755	2.287948
0.55	2.125643	-0.1618234	1.963819
0.6	1.816269	-0.149355	1.666914
0.65	1.531673	-0.1386767	1.392996
0.7	1.268178	-0.1294277	1.13875
0.75	1.02287	-0.1213383	0.9015313
0.8	0.7933993	-0.1142029	0.6791964
0.85	0.5778451	-0.1078618	0.4699833
0.9	0.3746152	-0.1021891	0.272426
0.95	0.1823762	-0.09708432	0.08529184
1	-0	-0.09246604	-0.09246604
1.05	-0	-0.08805739	-0.08805739
1.1	-0	-0.08362777	-0.08362777
1.15	-0	-0.07917692	-0.07917692
1.2	-0	-0.07470459	-0.07470459
1.25	-0	-0.07021052	-0.07021052
1.3	-0	-0.06569446	-0.06569446
1.35	-0	-0.06115614	-0.06115614
1.4	-0	-0.05659528	-0.05659528
1.45	-0	-0.0520116	-0.0520116
1.5	-0	-0.04740483	-0.04740483
1.55	-0	-0.04277467	-0.04277467
1.6	-0	-0.03812082	-0.03812082
1.65	-0	-0.03344298	-0.03344298
1.7	-0	-0.02874085	-0.02874085
1.75	-0	-0.02401411	-0.02401411
1.8	-0	-0.01926243	-0.01926243
1.85	-0	-0.01448548	-0.01448548
1.9	-0	-0.009682932	-0.009682932
1.95	-0	-0.004854437	-0.004854437
2	-0	0	0
