h / L	[ignore: F_rep (kT)]	[ignore: F_att (kT)]	F_sphere (kT)
0.05	0	0	478.2512
0.1	0	0	398.6091
0.15	0	0	334.3329
0.2	0	0	280.2124
0.25	0	0	233.7744
0.3	0	0	193.5408
0.35	0	0	158.5209
0.4	0	0	128.0012
0.45	0	0	101.4426
0.5	0	0	78.42247
0.55	0	0	58.60061
0.6	0	0	41.69693
0.65	0	0	27.47681
0.7	0	0	15.74075
0.75	0	0	6.317041
0.8	0	0	-0.9437281
0.85	0	0	-6.172741
0.9	0	0	-9.48612
0.95	0	0	-10.98738
1	0	0	-10.7694
1.05	0	0	-9.738711
1.1	0	0	-8.758031
1.15	0	0	-7.827639
1.2	0	0	-6.947821
1.25	0	0	-6.118869
1.3	0	0	-5.341078
1.35	0	0	-4.614747
1.4	0	0	-3.94018
1.45	0	0	-3.317686
1.5	0	0	-2.747578
1.55	0	0	-2.230172
1.6	0	0	-1.765791
1.65	0	0	-1.354763
1.7	0	0	-0.9974195
1.75	0	0	-0.6940982
1.8	0	0	-0.4451419
1.85	0	0	-0.2508987
1.9	0	0	-0.1117225
1.95	0	0	-0.02797286
2	0	0	0
