# h (nm)	F_rep (kT/nm^2)	F_att (kT/nm^2)	F_plate (kT/nm^2)
5	0.00927439	-0.000602646	0.00867174
6	0.00666324	-0.000565822	0.00609742
7	0.00491749	-0.000535487	0.00438201
8	0.00366073	-0.000509593	0.00315113
9	0.0027322	-0.000487339	0.00224486
10	0.00205077	-0.000467497	0.00158327
11	0.00154871	-0.000449956	0.00109875
12	0.00116591	-0.000434	0.000731915
13	0.000873027	-0.000419209	0.000453818
14	0.000649483	-0.000405183	0.000244301
15	0.000479402	-0.000392614	8.67881e-05
16	0.00035007	-0.000379944	-2.98741e-05
17	0.000251727	-0.000367309	-0.000115581
18	0.000178151	-0.000354402	-0.000176252
19	0.000123919	-0.000340801	-0.000216882
20	8.43403e-05	-0.000326263	-0.000241923
21	5.61328e-05	-0.000310874	-0.000254742
22	3.64359e-05	-0.000294304	-0.000257868
23	2.29941e-05	-0.000276424	-0.00025343
24	1.41125e-05	-0.000257669	-0.000243556
25	8.3792e-06	-0.000237711	-0.000229332
26	4.7658e-06	-0.000217098	-0.000212332
27	2.61828e-06	-0.000195974	-0.000193356
28	1.35371e-06	-0.000174754	-0.000173401
29	6.64787e-07	-0.000153718	-0.000153053
30	3.06239e-07	-0.000133428	-0.000133122
31	1.30304e-07	-0.000114149	-0.000114019
32	4.74973e-08	-9.61122e-05	-9.60647e-05
33	1.54218e-08	-7.97341e-05	-7.97186e-05
34	4.50364e-09	-6.50762e-05	-6.50717e-05
35	1.29722e-09	-5.22865e-05	-5.22852e-05
36	2.04951e-10	-4.13274e-05	-4.13272e-05
37	6.02797e-11	-3.21771e-05	-3.21771e-05
38	6.02797e-11	-2.46407e-05	-2.46407e-05
39	-0	-1.85786e-05	-1.85786e-05
40	-0	0	-0
41	-0	0	-0
42	-0	0	-0
43	-0	0	-0
44	-0	0	-0
45	-0	0	-0
46	-0	0	-0
47	-0	0	-0
48	-0	0	-0
49	-0	0	-0
50	-0	0	-0
51	-0	0	-0
52	-0	0	-0
53	-0	0	-0
54	-0	0	-0
55	-0	0	-0
56	-0	0	-0
57	-0	0	-0
58	-0	0	-0
59	-0	0	-0
60	-0	0	-0
61	-0	0	-0
62	-0	0	-0
63	-0	0	-0
64	-0	0	-0
65	-0	0	-0
66	-0	0	-0
67	-0	0	-0
68	-0	0	-0
69	-0	0	-0
70	-0	0	-0
71	-0	0	-0
72	-0	0	-0
73	-0	0	-0
74	-0	0	-0
75	-0	0	-0
76	-0	0	-0
77	-0	0	-0
78	-0	0	-0
79	-0	0	-0
80	-0	0	-0
