# h (nm)	F_rep (kT)	F_att (kT)	F_spheres (kT)
5	52.725	-10.4824	42.2426
6	38.9559	-9.73812	29.2177
7	28.9508	-9.05219	19.8986
8	21.5398	-8.41363	13.1261
9	16.0167	-7.81459	8.20208
10	11.8845	-7.24929	4.6352
11	8.77476	-6.71332	2.06144
12	6.42949	-6.20313	0.226366
13	4.66798	-5.71618	-1.0482
14	3.35262	-5.25065	-1.89803
15	2.37733	-4.80457	-2.42723
16	1.66072	-4.37667	-2.71594
17	1.14081	-3.96671	-2.82591
18	0.769418	-3.5746	-2.80519
19	0.508449	-3.20071	-2.69226
20	0.328526	-2.84584	-2.51731
21	0.207166	-2.51081	-2.30364
22	0.127192	-2.19656	-2.06936
23	0.0758484	-1.90422	-1.82837
24	0.0437906	-1.63463	-1.59084
25	0.0243592	-1.38846	-1.3641
26	0.0130027	-1.16618	-1.15318
27	0.00662333	-0.967748	-0.961125
28	0.00319178	-0.792781	-0.789589
29	0.00144793	-0.640498	-0.63905
30	0.000609022	-0.509702	-0.509093
31	0.000231876	-0.398838	-0.398606
32	7.82673e-05	-0.306198	-0.30612
33	2.39091e-05	-0.229884	-0.22986
34	6.69474e-06	-0.167896	-0.167889
35	1.68316e-06	-0.118267	-0.118266
36	3.85376e-07	-0.0791012	-0.0791008
37	1.56234e-07	-0.0486263	-0.0486261
38	5.20779e-08	-0.0252473	-0.0252472
39	0	-0.00757362	-0.00757362
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
