# h (nm)	blurred F_rep (kT)	blurred F_att (kT)	blurred F_spheres (kT)
5	9.42232	-12.2654	-2.84307
5.09	9.28371	-12.2187	-2.93503
5.18	9.14818	-12.1733	-3.0251
5.27	9.01544	-12.1288	-3.11339
5.36	8.88526	-12.0853	-3.20002
5.45	8.75742	-12.0425	-3.28508
5.54	8.63175	-12.0004	-3.36866
5.63	8.50807	-11.9589	-3.45083
5.72	8.38626	-11.9179	-3.53166
5.81	8.26617	-11.8774	-3.61121
5.9	8.14769	-11.8372	-3.68952
5.99	8.03073	-11.7974	-3.76666
6.08	7.91597	-11.7585	-3.8425
6.17	7.80336	-11.7204	-3.91708
6.26	7.69273	-11.6832	-3.99045
6.35	7.58397	-11.6466	-4.06267
6.44	7.47694	-11.6107	-4.13377
6.53	7.37155	-11.5754	-4.20381
6.62	7.2677	-11.5405	-4.27281
6.71	7.16531	-11.5061	-4.3408
6.8	7.0643	-11.4721	-4.40783
6.89	6.9646	-11.4385	-4.4739
6.98	6.86615	-11.4052	-4.53905
7.07	6.76922	-11.3725	-4.60325
7.16	6.67383	-11.3403	-4.66652
7.25	6.57988	-11.3087	-4.72887
7.34	6.48731	-11.2776	-4.79033
7.43	6.39605	-11.247	-4.85093
7.52	6.30604	-11.2167	-4.91067
7.61	6.21723	-11.1868	-4.96957
7.7	6.12957	-11.1572	-5.02765
7.79	6.04301	-11.1279	-5.08492
7.88	5.95751	-11.0989	-5.14139
7.97	5.87303	-11.0701	-5.19707
8.06	5.78968	-11.0416	-5.25197
8.15	5.70746	-11.0135	-5.30608
8.24	5.62634	-10.9858	-5.35941
8.33	5.54628	-10.9583	-5.41198
8.42	5.46724	-10.931	-5.46379
8.51	5.38918	-10.904	-5.51485
8.6	5.31208	-10.8772	-5.56517
8.69	5.2359	-10.8507	-5.61475
8.78	5.16062	-10.8242	-5.66361
8.87	5.08621	-10.7979	-5.71173
8.96	5.01266	-10.7718	-5.75913
9.05	4.93998	-10.7458	-5.80582
9.14	4.8682	-10.72	-5.85179
9.23	4.79729	-10.6943	-5.89704
9.32	4.72723	-10.6688	-5.94159
9.41	4.658	-10.6434	-5.98543
9.5	4.58957	-10.6181	-6.02857
9.59	4.52194	-10.5929	-6.07101
9.68	4.45507	-10.5678	-6.11276
9.77	4.38897	-10.5428	-6.15381
9.86	4.32361	-10.5178	-6.19417
9.95	4.25897	-10.4928	-6.23385
10.04	4.19507	-10.4679	-6.27284
10.13	4.13192	-10.4431	-6.31115
10.22	4.06949	-10.4183	-6.34877
10.31	4.00777	-10.3935	-6.38572
10.4	3.94676	-10.3688	-6.42199
10.49	3.88645	-10.344	-6.45758
10.58	3.82681	-10.3193	-6.4925
10.67	3.76785	-10.2946	-6.52674
10.76	3.70955	-10.2699	-6.56032
10.85	3.6519	-10.2451	-6.59323
10.94	3.59489	-10.2204	-6.62547
11.03	3.53853	-10.1956	-6.65705
11.12	3.48282	-10.1708	-6.68796
11.21	3.42774	-10.1459	-6.71821
11.3	3.37329	-10.1211	-6.7478
