# h (nm)	blurred F_rep (kT)	blurred F_att (kT)	blurred F_spheres (kT)
5	9.42232	-6.84601	2.57631
5.09	9.28371	-6.81077	2.47294
5.18	9.14818	-6.77644	2.37174
5.27	9.01544	-6.74289	2.27255
5.36	8.88526	-6.71	2.17526
5.45	8.75742	-6.67769	2.07973
5.54	8.63175	-6.64588	1.98587
5.63	8.50807	-6.61449	1.89359
5.72	8.38626	-6.58346	1.80279
5.81	8.26617	-6.55275	1.71341
5.9	8.14769	-6.52231	1.62539
5.99	8.03073	-6.49208	1.53865
6.08	7.91597	-6.46256	1.45342
6.17	7.80336	-6.4337	1.36965
6.26	7.69273	-6.40545	1.28728
6.35	7.58397	-6.37773	1.20623
6.44	7.47694	-6.35049	1.12645
6.53	7.37155	-6.32367	1.04788
6.62	7.2677	-6.29723	0.970468
6.71	7.16531	-6.27113	0.89418
6.8	7.0643	-6.24533	0.818972
6.89	6.9646	-6.21979	0.74481
6.98	6.86615	-6.19449	0.671659
7.07	6.76922	-6.16964	0.59958
7.16	6.67383	-6.14527	0.52856
7.25	6.57988	-6.12131	0.458564
7.34	6.48731	-6.09775	0.389559
7.43	6.39605	-6.07453	0.321516
7.52	6.30604	-6.05163	0.254409
7.61	6.21723	-6.02902	0.188214
7.7	6.12957	-6.00666	0.122909
7.79	6.04301	-5.98454	0.058474
7.88	5.95751	-5.96262	-0.00510986
7.97	5.87303	-5.94089	-0.0678592
8.06	5.78968	-5.91944	-0.129763
8.15	5.70746	-5.89829	-0.190825
8.24	5.62634	-5.87741	-0.251063
8.33	5.54628	-5.85677	-0.310491
8.42	5.46724	-5.83636	-0.369124
8.51	5.38918	-5.81615	-0.426974
8.6	5.31208	-5.79613	-0.484053
8.69	5.2359	-5.77627	-0.540373
8.78	5.16062	-5.75656	-0.595942
8.87	5.08621	-5.73698	-0.650771
8.96	5.01266	-5.71752	-0.704867
9.05	4.93998	-5.69821	-0.758233
9.14	4.8682	-5.67907	-0.810869
9.23	4.79729	-5.66008	-0.862784
9.32	4.72723	-5.64122	-0.913986
9.41	4.658	-5.62248	-0.964481
9.5	4.58957	-5.60385	-1.01428
9.59	4.52194	-5.58531	-1.06338
9.68	4.45507	-5.56686	-1.11179
9.77	4.38897	-5.54848	-1.15952
9.86	4.32361	-5.53017	-1.20657
9.95	4.25897	-5.51191	-1.25294
10.04	4.19507	-5.49372	-1.29865
10.13	4.13192	-5.4756	-1.34368
10.22	4.06949	-5.45754	-1.38805
10.31	4.00777	-5.43953	-1.43176
10.4	3.94676	-5.42157	-1.47481
10.49	3.88645	-5.40365	-1.51721
10.58	3.82681	-5.38577	-1.55895
10.67	3.76785	-5.3679	-1.60005
10.76	3.70955	-5.35006	-1.64051
10.85	3.6519	-5.33223	-1.68033
10.94	3.59489	-5.3144	-1.7195
