# h/5nm   Sigma*(5nm)^2
1 0.0132858
1.1 0.0120626
1.2 0.0111105
1.3 0.0102948
1.4 0.00956485
1.5 0.00897316
1.6 0.00844173
1.7 0.00797492
1.8 0.00758241
1.9 0.00722806
2 0.00687754
2.1 0.00658255
2.2 0.00630738
2.3 0.00605069
2.4 0.00583432
2.5 0.00561865
2.6 0.00541315
2.7 0.00524735
2.8 0.00506869
2.9 0.00492376
3 0.00477109
3.1 0.00465207
3.2 0.0045335
3.3 0.0044155
3.4 0.00432727
3.5 0.00424534
3.6 0.00416045
3.7 0.00408558
3.8 0.00403086
3.9 0.0039722
4 0.00392616
4.1 0.00387938
4.2 0.00385021
4.3 0.00382164
4.4 0.00379166
4.5 0.00377157
4.6 0.00375677
4.7 0.00374218
4.8 0.00373143
4.9 0.00372232
5 0.00371514
5.1 0.00370844
5.2 0.00370449
5.3 0.00370008
5.4 0.00369735
5.5 0.00369405
5.6 0.00369197
5.7 0.00369224
5.8 0.00369114
5.9 0.00369081
6 0.00369038
6.1 0.00369011
6.2 0.00368993
6.3 0.00368979
6.4 0.00368972
6.5 0.00368967
6.6 0.00368963
6.7 0.00368961
6.8 0.00368959
6.9 0.00368959
7 0.00368958
7.1 0.00368958
7.2 0.00368958
7.3 0.00368958
7.4 0.00368958
7.5 0.00368958
7.6 0.00368958
7.7 0.00368958
7.8 0.00368958
7.9 0.00368958
