# h (nm)	F_rep (kT/nm^2)	F_att (kT/nm^2)	F_plate (kT/nm^2)
5	0.00927439	-0.00108756	0.00818682
6	0.00666324	-0.000977658	0.00568558
7	0.00491749	-0.000893701	0.00402379
8	0.00366073	-0.00082628	0.00283445
9	0.0027322	-0.000771212	0.00196099
10	0.00205077	-0.000724205	0.00132656
11	0.00154871	-0.0006842	0.000864509
12	0.00116591	-0.00064901	0.000516905
13	0.000873027	-0.000617369	0.000255658
14	0.000649483	-0.000588196	6.12871e-05
15	0.000479402	-0.000562721	-8.33192e-05
16	0.00035007	-0.000537656	-0.000187586
17	0.000251727	-0.000513254	-0.000261527
18	0.000178151	-0.000488923	-0.000310772
19	0.000123919	-0.000463911	-0.000339992
20	8.43403e-05	-0.000437867	-0.000353527
21	5.61328e-05	-0.00041105	-0.000354918
22	3.64359e-05	-0.000383007	-0.000346571
23	2.29941e-05	-0.000353679	-0.000330685
24	1.41125e-05	-0.000323914	-0.000309801
25	8.3792e-06	-0.000293316	-0.000284937
26	4.7658e-06	-0.000262831	-0.000258066
27	2.61828e-06	-0.000232718	-0.0002301
28	1.35371e-06	-0.000203568	-0.000202215
29	6.64787e-07	-0.000175712	-0.000175047
30	3.06239e-07	-0.000149787	-0.000149481
31	1.30304e-07	-0.00012598	-0.000125849
32	4.74973e-08	-0.000104407	-0.000104359
33	1.54218e-08	-8.5386e-05	-8.53706e-05
34	4.50364e-09	-6.88081e-05	-6.88036e-05
35	1.29722e-09	-5.46775e-05	-5.46762e-05
36	2.04951e-10	-4.28115e-05	-4.28113e-05
37	6.02797e-11	-3.3072e-05	-3.30719e-05
38	6.02797e-11	-2.51632e-05	-2.51631e-05
39	-0	-1.88745e-05	-1.88745e-05
40	-0	0	0
41	-0	0	0
42	-0	0	0
43	-0	0	0
44	-0	0	0
45	-0	0	0
46	-0	0	0
47	-0	0	0
48	-0	0	0
49	-0	0	0
50	-0	0	0
51	-0	0	0
52	-0	0	0
53	-0	0	0
54	-0	0	0
55	-0	0	0
56	-0	0	0
57	-0	0	0
58	-0	0	0
59	-0	0	0
60	-0	0	0
61	-0	0	0
62	-0	0	0
63	-0	0	0
64	-0	0	0
65	-0	0	0
66	-0	0	0
67	-0	0	0
68	-0	0	0
69	-0	0	0
70	-0	0	0
71	-0	0	0
72	-0	0	0
73	-0	0	0
74	-0	0	0
75	-0	0	0
76	-0	0	0
77	-0	0	0
78	-0	0	0
79	-0	0	0
80	-0	0	0
