# h (nm)	F_rep (kT)	F_att (kT)	F_spheres (kT)
5	52.725	-23.5487	29.1763
6	38.9559	-21.7645	17.1914
7	28.9508	-20.1478	8.80307
8	21.5398	-18.6618	2.87797
9	16.0167	-17.2817	-1.26499
10	11.8845	-15.9897	-4.10523
11	8.77476	-14.7729	-5.99818
12	6.42949	-13.6211	-7.19164
13	4.66798	-12.5271	-7.85908
14	3.35262	-11.4855	-8.1329
15	2.37733	-10.4912	-8.11387
16	1.66072	-9.54054	-7.87982
17	1.14081	-8.63262	-7.49182
18	0.769418	-7.76681	-6.99739
19	0.508449	-6.94362	-6.43517
20	0.328526	-6.16454	-5.83601
21	0.207166	-5.43112	-5.22396
22	0.127192	-4.74511	-4.61792
23	0.0758484	-4.10866	-4.03281
24	0.0437906	-3.52326	-3.47947
25	0.0243592	-2.99001	-2.96565
26	0.0130027	-2.50953	-2.49653
27	0.00662333	-2.08141	-2.07479
28	0.00319178	-1.70448	-1.70129
29	0.00144793	-1.37681	-1.37536
30	0.000609022	-1.0956	-1.09499
31	0.000231876	-0.857353	-0.857122
32	7.82673e-05	-0.658314	-0.658236
33	2.39091e-05	-0.494345	-0.494321
34	6.69474e-06	-0.361131	-0.361124
35	1.68316e-06	-0.254447	-0.254445
36	3.85376e-07	-0.170222	-0.170222
37	1.56234e-07	-0.104664	-0.104664
38	5.20779e-08	-0.0543522	-0.0543521
39	0	-0.0163064	-0.0163064
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
